F,65-69,50,Free,Laura Val,2016-08-21,00:00:29.92
F,65-69,100,Free,Laura Val,2016-08-21,00:01:05.53
F,65-69,50,Back,Laura Val,2016-08-21,00:00:35.46
F,65-69,200,Back,Laura Val,2016-08-21,00:02:49.39
M,25-29,200,Back,Matt Hurko,2016-08-21,00:02:16.13
M,75-79,400,Free,Murray McLachlan,2016-08-20,00:06:17.55
F,65-69,100,Back,Laura Val,2016-08-20,00:01:16.34
M,25-29,100,Back,Ben Hinshaw,2016-08-20,00:01:00.02
F,30-34,50,Breast,Kathleen McGraw,2016-08-19,00:00:34.99
F,40-44,50,Breast,Katie Glenn,2016-08-19,00:00:32.47
F,85-89,50,Breast,Ann Hirsch,2016-08-19,00:01:03.35
M,80-84,50,Breast,Jack Fleming,2016-08-19,00:00:47.37
F,40-44,200,Free,Katie Glenn,2016-08-18,00:02:10.47
F,65-69,200,Free,Laura Val,2016-08-18,00:02:25.29
F,40-44,100,Breast,Katie Glenn,2016-08-18,00:01:13.57
F,65-69,100,Fly,Laura Val,2016-08-18,00:01:13.70
M,80-84,100,Fly,Jack Fleming,2016-08-18,00:01:53.89
F,40-44,1500,Free,Heidi George,2016-08-17,00:17:44.35
F,55-59,200,Breast,Merrie Walts,2016-08-06,00:03:22.21
F,85-89,200,Breast,Ann Hirsch,2016-08-06,00:05:04.17
M,60-64,200,Fly,Peter Guadagni,2016-08-06,00:02:42.84
F,85-89,200,I.M.,Ann Hirsch,2016-08-06,00:05:00.53
M,55-59,50,Free,David Boatwright,2016-08-03,00:00:25.87
M,55-59,200,Free,David Boatwright,2016-08-03,00:02:05.88
M,65-69,50,Free,Tate Holt,2016-07-24,00:00:27.38
F,40-44,100,Free,Katie Glenn,2016-07-24,00:01:00.68
M,55-59,100,Free,David Boatwright,2016-07-24,00:00:57.48
M,65-69,100,Free,Tate Holt,2016-07-24,00:01:01.69
M,65-69,200,Free,Tim Broderick,2016-07-24,00:02:18.51
M,55-59,400,Free,David Boatwright,2016-07-24,00:04:36.62
F,65-69,1500,Free,Laura Val,2016-07-24,00:21:00.10
M,55-59,1500,Free,David Boatwright,2016-07-24,00:18:34.42
F,40-44,200,Breast,Katie Glenn,2016-07-24,00:02:47.92
F,65-69,50,Fly,Laura Val,2016-07-24,00:00:34.22
F,50-54,200,I.M.,Susan Preston,2016-07-24,00:02:36.05
F,65-69,200,I.M.,Laua Val,2016-07-24,00:02:54.16
F,50-54,800,Free,Susan Preston,2016-07-23,00:09:34.12
F,80-84,200,Back,Miek Mc Cubbin,2016-07-23,00:04:18.32
F,85-89,100,Breast,Ann Hirsch,2016-07-23,00:02:25.44
M,70-74,400,Free,Don Davis,2016-07-03,00:05:29.64
M,25-29,50,Fly,Thomas Shields,2016-07-03,00:00:24.17
M,25-29,100,Fly,Thomas Shields,2016-07-02,00:00:51.20
F,18-24,200,Back,Elizabeth Pelton,2016-07-01,00:02:15.69
F,18-24,100,Free,Elizabeth Pelton,2016-06-30,00:00:57.05
M,18-24,200,I.M.,Adam Hinshaw,2016-06-30,00:02:01.72
M,25-29,200,Fly,Thomas Shields,2016-06-29,00:01:55.81
F,18-24,200,Free,Elizabeth Pelton,2016-06-28,00:02:02.36
F,18-24,100,Back,Elizabeth Pelton,2016-06-27,00:01:01.73
F,30-34,50,Free,Marie Ballenger,2016-06-18,00:00:26.16
F,30-34,100,Free,Marie Ballenger,2016-04-16,00:00:59.76
