M,60-64,50,Free,Loren Druz,2016-10-09,00:00:26.56
M,70-74,50,Free,James DeLacy,2016-10-09,00:00:29.59
F,18-24,100,Free,Catherine Breed,2016-10-09,00:00:57.99
F,65-69,100,Free,Laura Val,2016-10-09,00:01:06.86
M,60-64,100,Free,Loren Druz,2016-10-09,00:01:00.56
M,70-74,400,Free,Richard Burns,2016-10-09,00:05:35.49
F,45-49,800,Free,Alison Zamanian,2016-10-09,00:09:21.83
F,30-34,50,Back,Sarah M. Hernande,2016-10-09,00:00:30.66
M,45-49,50,Back,Rick Hamilton,2016-10-09,00:00:29.78
F,65-69,100,Back,Laura Val,2016-10-09,00:01:16.71
F,55-59,200,Back,Bonnie Bilich,2016-10-09,00:02:39.94
F,65-69,200,Back,Laura B Val,2016-10-09,00:02:44.59
F,65-69,50,Breast,Laura Val,2016-10-09,00:00:43.22
F,65-69,100,Breast,Laura B Val,2016-10-09,00:01:34.92
M,18-24,100,Breast,Darren Chan Chin,2016-10-09,00:01:03.84
F,75-79,200,Fly,Nancy Stretch,2016-10-09,00:04:53.77
F,65-69,100,I.M.,Laura B Val,2016-10-09,00:01:17.85
F,45-49,400,I.M.,Alison Zamanian,2016-10-09,00:05:20.17
F,65-69,50,Free,Laura B Val,2016-10-02,00:00:29.99
F,65-69,50,Back,Laura B Val,2016-10-02,00:00:34.12
F,65-69,50,Fly,Laura B Val,2016-10-02,00:00:33.53
M,65-69,50,Free,Tate Holt,2016-09-18,00:00:26.85
M,65-69,200,Free,Tim Broderick,2016-09-18,00:02:14.82
M,18-24,50,Back,Chuck Katis,2016-09-18,00:00:25.71
M,18-24,200,Breast,Chuck Katis,2016-09-18,00:02:14.40
F,65-69,100,Fly,Laura B Val,2016-09-18,00:01:16.77
F,65-69,200,Fly,Laura B Val,2016-09-18,00:02:45.20
F,65-69,200,I.M.,Laura B Val,2016-09-18,00:02:48.15
F,65-69,400,I.M.,Laura B Val,2016-09-18,00:05:55.00
F,65-69,200,Free,Laura Val,2016-01-30,00:02:25.41
F,65-69,400,Free,Laura Val,2016-01-30,00:05:06.74
F,18-24,800,Free,Mackenzie Leake,2016-01-30,00:09:36.75
F,18-24,1500,Free,Mikkel-Ane Stipe,2016-01-30,00:17:47.75
F,65-69,1500,Free,Laura Val,2016-01-30,00:20:21.61
M,25-29,1500,Free,Chad La Tourette,2016-01-30,00:16:16.05
F,65-69,800,Free,Laura Val,2016-01-24,00:10:34.67
