F,60-64,200,Free,Laura Val,2016-05-22,00:02:05.75
M,75-79,500,Free,Murray McLachlan,2016-05-22,00:06:59.81
M,25-29,50,Back,Andrew Saeta,2016-05-01,00:00:21.98
F,65-69,50,Fly,A Susan Tyler,2016-05-01,00:00:33.57
M,55-59,50,Fly,Paul V. Carter,2016-05-01,00:00:24.39
M,40-44,50,Free,David Cole,2016-04-30,00:00:21.51
M,18-24,100,Back,Matthew Murray,2016-04-30,00:00:50.01
M,25-29,100,Back,Andrew Saeta,2016-04-30,00:00:48.50
M,25-29,50,Breast,Christopher Burkl,2016-04-30,00:00:24.86
M,70-74,100,Fly,Richard Burns,2016-04-30,00:01:05.03
F,25-29,50,Back,F O'Donnell-McCar,2016-04-29,00:00:26.13
F,18-24,1650,Free,Allison Arnold,2016-04-28,00:17:27.91
M,60-64,100,Free,Jim Helm,2016-04-10,00:00:53.05
F,45-49,1000,Free,Alison Zamanian,2016-04-10,00:10:36.22
F,60-64,50,Breast,Laura Val,2016-04-10,00:00:37.72
F,85-89,50,Breast,Ann Hirsch,2016-04-10,00:00:55.14
M,40-44,100,Fly,Tedder Stevenson,2016-04-10,00:00:52.33
F,85-89,200,I.M.,Ann Hirsch,2016-04-10,00:04:21.54
F,45-49,500,Free,Alison Zamanian,2016-04-09,00:05:09.18
F,45-49,1650,Free,Alison Zamanian,2016-04-09,00:17:39.79
M,65-69,200,I.M.,Tim Broderick,2016-04-09,00:02:17.03
F,85-89,200,Breast,Ann Hirsch,2016-03-12,00:04:20.23
F,85-89,100,Breast,Ann Hirsch,2016-02-20,00:02:01.37
M,35-39,100,Fly,Tamas Kerekjarto,2016-02-20,00:00:50.42
F,85-89,100,I.M.,Ann Hirsch,2016-02-20,00:01:58.91
F,70-74,100,Breast,Daniela Barnea,2015-07-09,00:01:31.44
M,60-64,50,Fly,Steve Baxter,2015-06-06,00:00:26.25
