2016 USMS Top 10 LCM for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
2,W18-24,50 Free,Elizabeth Pelton,23,BC,Pacific,27.60M
3,W18-24,50 Free,Kathryn T Murphy,24,TOC,Pacific,27.61M
5,W18-24,50 Free,Cassandra M Adams,20,CHIC,Pacific,28.46M
6,W18-24,50 Free,Vivian A Crow,19,DAM,Pacific,28.54M
7,W18-24,50 Free,Danae Petrakis,24,USF,Pacific,28.84M
8,W18-24,50 Free,Kristie H Chan,22,USF,Pacific,29.04M
2,W18-24,100 Free,Elizabeth Pelton,23,BC,Pacific,57.05M
5,W18-24,100 Free,Jeanette C Dove,24,USF,Pacific,1:03.82M
8,W18-24,100 Free,Kristie H Chan,22,USF,Pacific,1:04.28M
9,W18-24,100 Free,Allison A Arnold,24,TOC,Pacific,1:04.72M
10,W18-24,100 Free,Cassandra M Adams,20,CHIC,Pacific,1:04.83M
1,W18-24,200 Free,Elizabeth Pelton,23,BC,Pacific,2:02.36M
2,W18-24,200 Free,Catherine Breed,23,MEMO,Pacific,2:11.33M
3,W18-24,200 Free,Allison A Arnold,24,TOC,Pacific,2:13.56M
6,W18-24,200 Free,Kathryn T Murphy,24,TOC,Pacific,2:22.61M
9,W18-24,200 Free,Allie Sanzi,21,BC,Pacific,2:30.18M
1,W18-24,400 Free,Allison A Arnold,24,TOC,Pacific,4:29.93M
2,W18-24,400 Free,Kathryn T Murphy,24,TOC,Pacific,4:50.87M
1,W18-24,800 Free,Allison A Arnold,24,TOC,Pacific,9:15.57M
2,W18-24,800 Free,Catherine Breed,23,MEMO,Pacific,9:53.81M
6,W18-24,800 Free,Kristie H Chan,22,USF,Pacific,11:28.94M
7,W18-24,800 Free,Jennifer B Tilton,21,USF,Pacific,11:52.75M
1,W18-24,1500 Free,Allison A Arnold,24,TOC,Pacific,18:32.28M
3,W18-24,1500 Free,Danae Petrakis,24,USF,Pacific,20:51.36M
7,W18-24,1500 Free,Jennifer B Tilton,21,USF,Pacific,22:38.51M
2,W18-24,50 Back,Catherine Breed,23,MEMO,Pacific,33.90M
1,W18-24,100 Back,Elizabeth Pelton,23,BC,Pacific,1:01.73M
2,W18-24,100 Back,Catherine Breed,23,MEMO,Pacific,1:09.86M
3,W18-24,100 Back,Jeanette C Dove,24,USF,Pacific,1:10.61M
8,W18-24,100 Back,Sarah Stretch,19,SMM,Pacific,1:16.32M
10,W18-24,100 Back,Cassandra M Adams,20,CHIC,Pacific,1:17.85M
1,W18-24,200 Back,Elizabeth Pelton,23,BC,Pacific,2:15.69M
2,W18-24,200 Back,Catherine Breed,23,MEMO,Pacific,2:37.59M
3,W18-24,50 Breast,Allison A Arnold,24,TOC,Pacific,37.45M
7,W18-24,50 Breast,Danae Petrakis,24,USF,Pacific,38.28M
4,W18-24,100 Breast,Danae Petrakis,24,USF,Pacific,1:21.83M
10,W18-24,100 Breast,Jenn Hwang,24,WCM,Pacific,1:29.74M
2,W18-24,50 Fly,Vivian A Crow,19,DAM,Pacific,30.34M
4,W18-24,50 Fly,Kathryn T Murphy,24,TOC,Pacific,30.85M
6,W18-24,50 Fly,Danae Petrakis,24,USF,Pacific,31.45M
8,W18-24,50 Fly,Allison A Arnold,24,TOC,Pacific,31.82M
10,W18-24,50 Fly,Morgan L Smith,20,SMM,Pacific,32.24M
3,W18-24,100 Fly,Vivian A Crow,19,DAM,Pacific,1:04.31M
7,W18-24,100 Fly,Danae Petrakis,24,USF,Pacific,1:12.30M
8,W18-24,100 Fly,Morgan L Smith,20,SMM,Pacific,1:14.42M
2,W18-24,200 Fly,Vivian A Crow,19,DAM,Pacific,2:24.91M
5,W18-24,200 Fly,Jennifer B Tilton,21,USF,Pacific,3:17.72M
1,W18-24,200 IM,Allison A Arnold,24,TOC,Pacific,2:26.98M
3,W18-24,200 IM,Vivian A Crow,19,DAM,Pacific,2:32.59M
4,W18-24,200 IM,Kathryn T Murphy,24,TOC,Pacific,2:38.65M
