2016 USMS Top 10 SCY for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
1,W18-24,50 Free,Mikkel-Ane Stipe,23,TOC,Pacific,24.13Y
10,W18-24,50 Free,Anna K Senko,23,TOC,Pacific,24.74Y
1,W18-24,100 Free,Mikkel-Ane Stipe,23,TOC,Pacific,52.10Y
2,W18-24,100 Free,Catherine Breed,23,MEMO,Pacific,52.41Y
4,W18-24,100 Free,Kathryn T Murphy,23,TOC,Pacific,52.88Y
2,W18-24,200 Free,Mikkel-Ane Stipe,23,TOC,Pacific,1:53.79Y
5,W18-24,200 Free,Allison A Arnold,23,TOC,Pacific,1:57.79Y
2,W18-24,500 Free,Allison A Arnold,23,TOC,Pacific,4:58.27Y
4,W18-24,500 Free,Catherine Breed,23,MEMO,Pacific,5:08.09Y
5,W18-24,500 Free,Mikkel-Ane Stipe,23,TOC,Pacific,5:13.88Y
1,W18-24,1000 Free,Allison A Arnold,23,TOC,Pacific,10:31.11Y
2,W18-24,1000 Free,Mackenzie M Leake,22,STAN,Pacific,10:51.35Y
1,W18-24,1650 Free,Allison A Arnold,23,TOC,Pacific,17:27.91Y
3,W18-24,50 Back,Mikkel-Ane Stipe,23,TOC,Pacific,27.64Y
6,W18-24,50 Back,Elyssa Pedote,23,TOC,Pacific,28.18Y
9,W18-24,50 Back,Jeanette C Dove,23,USF,Pacific,28.94Y
3,W18-24,100 Back,Mikkel-Ane Stipe,23,TOC,Pacific,58.02Y
4,W18-24,100 Back,Anna K Senko,23,TOC,Pacific,58.15Y
7,W18-24,100 Back,Elyssa Pedote,23,TOC,Pacific,1:00.31Y
2,W18-24,200 Back,Anna K Senko,23,TOC,Pacific,2:04.64Y
3,W18-24,200 Back,Catherine Breed,23,MEMO,Pacific,2:05.03Y
4,W18-24,200 Back,Mikkel-Ane Stipe,23,TOC,Pacific,2:06.25Y
6,W18-24,200 Back,Elyssa Pedote,23,TOC,Pacific,2:09.67Y
9,W18-24,200 Back,Morgan R Miller,22,SCVM,Pacific,2:16.67Y
3,W18-24,50 Breast,Allison A Arnold,23,TOC,Pacific,30.69Y
10,W18-24,50 Breast,Danae Petrakis,23,USF,Pacific,32.12Y
2,W18-24,100 Breast,Allison A Arnold,23,TOC,Pacific,1:08.11Y
3,W18-24,100 Breast,Danae Petrakis,23,USF,Pacific,1:08.21Y
1,W18-24,200 Breast,Allison A Arnold,23,TOC,Pacific,2:21.47Y
7,W18-24,200 Breast,Danae Petrakis,23,USF,Pacific,2:33.63Y
1,W18-24,50 Fly,Anna K Senko,23,TOC,Pacific,25.37Y
