USMS Women's Long Course Meters Records 03/06/2018
Age Group,Event,Name,Date,Time
W18-24,50 M Free,Kara J Denby,07-26-09,26.22L
W18-24,100 M Free,Rachael E Burnett,08-14-14,57.90L
W18-24,200 M Free,Jessica Foschi,08-17-03,2:03.06L
W18-24,400 M Free,Julia Stowers,07-05-03,4:16.72L
W18-24,800 M Free,Luane Rowe,08-09-13,9:11.32L
W18-24,1500 M Free,Luane Rowe,07-05-12,17:22.39L
W18-24,50 M Back,Emile C Ewing,08-05-11,30.84L
W18-24,100 M Back,Jenny von Jouanne,07-20-12,1:04.67L
W18-24,200 M Back,Sarabeth Schweitzer,08-20-00,2:19.70L
W18-24,50 M Breast,Lauren R Greenberg,08-01-15,32.92L
W18-24,100 M Breast,Breeja Larson,07-30-11,1:10.32L
W18-24,200 M Breast,Marissa L Clapp,07-19-09,2:36.61L
W18-24,50 M Fly,Meg B Gill,07-12-09,28.62L
W18-24,100 M Fly,Laura M Davis,06-29-08,1:01.04L
W18-24,200 M Fly,Laura M Davis,07-02-08,2:12.75L
W18-24,200 M IM,Laura M Davis,07-01-08,2:16.06L
W18-24,400 M IM,Jamie L Marks,08-10-10,5:08.00L
W25-29,50 M Free,Madison Kennedy,08-10-14,24.83L
W25-29,100 M Free,Madison Kennedy,08-06-14,54.72L
W25-29,200 M Free,Sheila Taormina,12-02-95,2:02.06L
W25-29,400 M Free,Sheila Taormina,12-02-95,4:13.03L
W25-29,800 M Free,Rachel Komisarz,07-19-01,8:47.44L
W25-29,1500 M Free,Rachel Komisarz,07-19-01,16:39.77L
W25-29,50 M Back,Madison Kennedy,08-08-14,29.15L
W25-29,100 M Back,Kelly M Harrigan,07-31-11,1:06.44L
W25-29,200 M Back,Diane M Graner-Gallas,08-20-89,2:19.97L
W25-29,50 M Breast,Katie Meili,06-27-16,30.82L
W25-29,100 M Breast,Katie Meili,06-28-16,1:06.07L
W25-29,200 M Breast,Justine L Mueller,06-26-13,2:29.90L
W25-29,50 M Fly,Hannah K Saiz,06-28-17,27.37L
W25-29,100 M Fly,Hannah K Saiz,08-04-17,59.74L
W25-29,200 M Fly,Hannah K Saiz,06-27-17,2:10.83L
W25-29,200 M IM,Justine L Mueller,06-29-13,2:14.03L
W25-29,400 M IM,Sara Shand,07-30-89,5:06.34L
W30-34,50 M Free,Erika A Erndl,08-08-09,25.57L
W30-34,100 M Free,Erika A Erndl,08-05-09,54.59L
W30-34,200 M Free,Erika A Erndl,08-07-09,1:58.92L
W30-34,400 M Free,Dawn M Heckman,08-03-10,4:17.52L
W30-34,800 M Free,Dawn M Heckman,05-30-10,8:46.22L
W30-34,1500 M Free,Dawn M Heckman,04-25-10,17:07.54L
W30-34,50 M Back,Noriko Inada,07-08-12,28.57L
W30-34,100 M Back,Noriko Inada,08-06-11,1:01.78L
W30-34,200 M Back,Sarabeth E Metzger,08-06-09,2:17.61L
W30-34,50 M Breast,Katie McClelland,08-15-08,33.20L
W30-34,100 M Breast,Katie McClelland,08-16-08,1:13.29L
W30-34,200 M Breast,Marissa L Clapp,07-23-17,2:38.90L
W30-34,50 M Fly,Martina Moravcova,06-07-08,27.48L
W30-34,100 M Fly,Martina Moravcova,06-07-08,58.81L
W30-34,200 M Fly,Kim Vandenberg,06-25-13,2:15.65L
W30-34,200 M IM,Erika A Erndl,08-08-09,2:13.72L
W30-34,400 M IM,Erika A Erndl,06-29-08,4:47.06L
W35-39,50 M Free,Erika A Erndl,06-29-13,25.52L
W35-39,100 M Free,Erika A Erndl,06-25-13,55.17L
W35-39,200 M Free,Erika A Erndl,06-26-13,2:00.04L
W35-39,400 M Free,Dawn M Heckman,06-01-12,4:16.19L
W35-39,800 M Free,Dawn M Heckman,06-03-12,8:47.28L
W35-39,1500 M Free,Heidi S George,08-06-15,17:17.22L
W35-39,50 M Back,Noriko Inada,08-18-16,28.63L
W35-39,100 M Back,Noriko Inada,08-19-17,1:01.75L
W35-39,200 M Back,Karlyn Pipes-Neilsen,08-10-97,2:18.20L
W35-39,50 M Breast,Katie Glenn,08-09-13,32.86L
W35-39,100 M Breast,Cynthia J Lewis,05-27-12,1:12.30L
W35-39,200 M Breast,Katie Glenn,08-10-13,2:39.78L
W35-39,50 M Fly,Noriko Inada,08-05-14,27.46L
W35-39,100 M Fly,Erika A Erndl,06-27-13,59.52L
W35-39,200 M Fly,Karlyn Pipes-Neilsen,08-10-97,2:20.21L
W35-39,200 M IM,Karlyn Pipes-Neilsen,07-19-97,2:22.42L
W35-39,400 M IM,Karlyn Pipes-Neilsen,08-15-98,5:02.67L
W40-44,50 M Free,Dara G Torres,07-06-08,24.25L
W40-44,100 M Free,Dara G Torres,07-04-08,53.78L
W40-44,200 M Free,Karlyn Pipes-Neilsen,05-25-03,2:09.00L
W40-44,400 M Free,Janet B Evans,08-13-11,4:22.87L
W40-44,800 M Free,Janet B Evans,06-11-11,8:59.06L
W40-44,1500 M Free,Heidi S George,04-30-17,17:17.59L
W40-44,50 M Back,Erika L Braun,08-08-15,31.38L
W40-44,100 M Back,Jody L Smith,08-07-09,1:07.21L
W40-44,200 M Back,Jody L Smith,08-06-09,2:23.18L
W40-44,50 M Breast,Katie Glenn,08-19-16,32.47L
W40-44,100 M Breast,Susan G Von Der Lippe,06-30-08,1:12.12L
W40-44,200 M Breast,Susan von der Lippe,08-09-06,2:38.44L
W40-44,50 M Fly,Erika L Braun,06-08-13,28.36L
W40-44,100 M Fly,Susan G Von Der Lippe,06-29-08,1:02.47L
W40-44,200 M Fly,Karlyn Pipes-Neilsen,08-17-03,2:24.77L
W40-44,200 M IM,Susan von der Lippe,08-05-07,2:25.03L
W40-44,400 M IM,Karlyn Pipes-Neilsen,08-01-04,5:09.83L
W45-49,50 M Free,Erika L Braun,08-05-17,27.09L
,,Melanie Thomas,08-07-15,27.09L
W45-49,100 M Free,Melanie Thomas,08-08-15,57.40L
W45-49,200 M Free,Karlyn Pipes-Neilsen,06-13-09,2:10.09L
W45-49,400 M Free,Karlyn Pipes-Neilsen,09-06-08,4:35.84L
W45-49,800 M Free,Karlyn Pipes-Neilsen,08-05-07,9:24.11L
W45-49,1500 M Free,Suzanne Heim-Bowen,08-17-03,17:55.83L
W45-49,50 M Back,Ellen M Reynolds,07-07-12,31.71L
,,Ellen M Reynolds,05-22-11,31.71L
,,Valerie G Jenkins,08-17-08,31.71L
W45-49,100 M Back,Karlyn Pipes-Neilsen,05-24-09,1:08.11L
W45-49,200 M Back,Karlyn Pipes-Neilsen,05-22-09,2:26.06L
W45-49,50 M Breast,Susan G Von Der Lippe,07-17-10,33.66L
W45-49,100 M Breast,Susan G Von Der Lippe,07-17-10,1:14.41L
W45-49,200 M Breast,Caroline Krattli,08-05-07,2:45.20L
W45-49,50 M Fly,Erika L Braun,08-05-17,28.40L
W45-49,100 M Fly,Wenke K Seider,08-06-14,1:04.96L
W45-49,200 M Fly,Karlyn Pipes-Neilsen,06-20-09,2:24.34L
W45-49,200 M IM,Karlyn Pipes-Neilsen,08-16-08,2:27.57L
W45-49,400 M IM,Karlyn Pipes-Neilsen,09-05-08,5:13.85L
W50-54,50 M Free,Fall Willeboordse,07-09-16,28.17L
W50-54,100 M Free,Laura B Val,08-19-01,1:01.13L
W50-54,200 M Free,Jill S Hernandez,08-08-13,2:13.18L
W50-54,400 M Free,Jill S Hernandez,08-11-13,4:40.66L
W50-54,800 M Free,Susan H Preston,07-23-16,9:34.12L
W50-54,1500 M Free,Suzanne M Heim-Bowen,08-14-08,18:32.76L
W50-54,50 M Back,Leslie C Livingston,06-22-13,32.41L
W50-54,100 M Back,Ellen M Reynolds,08-08-14,1:09.28L
W50-54,200 M Back,Ellen M Reynolds,08-04-14,2:26.64L
W50-54,50 M Breast,Robin C Tracy,08-19-16,37.31L
,,Caroline Krattli,07-26-15,37.31L
W50-54,100 M Breast,Corrin C Popps,08-04-14,1:22.23L
W50-54,200 M Breast,Ellen M Reynolds,08-06-16,2:54.00L
W50-54,50 M Fly,Susan O Williams,07-24-16,29.82L
W50-54,100 M Fly,Jill S Hernandez,08-13-11,1:07.80L
W50-54,200 M Fly,Laura B Val,08-18-01,2:31.55L
W50-54,200 M IM,Ellen M Reynolds,08-07-16,2:31.02L
W50-54,400 M IM,Ellen M Reynolds,08-05-14,5:20.68L
W55-59,50 M Free,Karlyn A Pipes,07-16-17,28.69L
,,Laura B Val,08-17-08,28.69L
W55-59,100 M Free,Laura B Val,08-16-08,1:02.02L
,,Laura B Val,08-13-07,1:02.02L
W55-59,200 M Free,Laura B Val,08-06-09,2:16.28L
W55-59,400 M Free,Jill S Hernandez,07-26-15,4:46.69L
W55-59,800 M Free,Jill S Hernandez,07-25-15,9:46.56L
W55-59,1500 M Free,Laura B Val,07-08-07,19:14.70L
W55-59,50 M Back,Karlyn A Pipes,07-15-17,32.36L
W55-59,100 M Back,Karlyn A Pipes,07-09-17,1:11.23L
W55-59,200 M Back,Karlyn A Pipes,07-16-17,2:37.77L
W55-59,50 M Breast,Caroline Krattli,07-16-17,37.13L
W55-59,100 M Breast,Caroline Krattli,07-15-17,1:21.21L
W55-59,200 M Breast,Caroline Krattli,06-11-17,3:01.66L
W55-59,50 M Fly,Leslie C Livingston,07-10-16,30.52L
W55-59,100 M Fly,Laura B Val,08-09-09,1:09.47L
W55-59,200 M Fly,Laura B Val,07-08-07,2:41.51L
W55-59,200 M IM,Jill S Hernandez,07-26-15,2:38.74L
W55-59,400 M IM,Laura B Val,07-10-09,5:49.40L
W60-64,50 M Free,Laura B Val,08-06-11,29.31L
W60-64,100 M Free,Laura B Val,08-05-11,1:03.83L
W60-64,200 M Free,Laura B Val,06-12-12,2:21.48L
W60-64,400 M Free,Laura B Val,08-12-12,4:59.82L
W60-64,800 M Free,Laura B Val,07-08-11,10:27.71L
W60-64,1500 M Free,Laura B Val,07-08-11,19:52.85L
W60-64,50 M Back,Laura B Val,08-09-15,33.86L
W60-64,100 M Back,Laura B Val,08-09-15,1:14.76L
W60-64,200 M Back,Laura B Val,07-13-13,2:44.38L
W60-64,50 M Breast,Beth A Estel,08-19-16,39.02L
W60-64,100 M Breast,Beth A Estel,08-18-16,1:27.24L
W60-64,200 M Breast,Lo D Knapp,06-29-14,3:08.07L
W60-64,50 M Fly,Laura B Val,07-08-12,32.27L
W60-64,100 M Fly,Laura B Val,08-04-11,1:12.06L
W60-64,200 M Fly,Laura B Val,08-06-11,2:41.03L
W60-64,200 M IM,Laura B Val,07-14-13,2:47.99L
W60-64,400 M IM,Laura B Val,07-08-11,5:56.27L
W65-69,50 M Free,Laura B Val,08-19-16,29.92L
W65-69,100 M Free,Laura B Val,08-16-17,1:05.00L
W65-69,200 M Free,Laura B Val,08-18-16,2:25.29L
W65-69,400 M Free,Laura B Val,07-15-17,5:20.83L
W65-69,800 M Free,Laura B Val,07-15-17,10:49.60L
W65-69,1500 M Free,Laura B Val,07-22-16,21:00.15L
W65-69,50 M Back,Laura B Val,08-20-17,34.46L
W65-69,100 M Back,Laura B Val,08-19-17,1:15.66L
W65-69,200 M Back,Laura B Val,08-21-16,2:49.39L
W65-69,50 M Breast,Dot Munger,08-19-16,41.93L
W65-69,100 M Breast,Dot Munger,08-18-16,1:34.53L
W65-69,200 M Breast,Joann Leilich,08-28-05,3:26.98L
W65-69,50 M Fly,Charlotte M Davis,08-21-16,33.66L
W65-69,100 M Fly,Laura B Val,08-18-16,1:13.70L
W65-69,200 M Fly,Shirley A Loftus-Charley,06-17-17,3:17.58L
W65-69,200 M IM,Laura B Val,07-24-16,2:54.16L
W65-69,400 M IM,Charlotte M Davis,08-18-16,6:28.60L
W70-74,50 M Free,Diann Uustal,08-05-17,33.02L
W70-74,100 M Free,Diann Uustal,08-04-17,1:15.30L
,,Diann Uustal,08-21-16,1:15.30L
W70-74,200 M Free,Diann Uustal,08-27-16,2:46.63L
W70-74,400 M Free,Carolyn Boak,08-20-16,6:06.39L
W70-74,800 M Free,Lavelle Stoinoff,08-15-04,12:35.14L
W70-74,1500 M Free,Lavelle Stoinoff,07-13-03,24:24.13L
W70-74,50 M Back,Diann Uustal,08-04-17,39.11L
W70-74,100 M Back,Diann Uustal,08-06-17,1:25.54L
W70-74,200 M Back,Diann Uustal,08-05-17,3:14.66L
W70-74,50 M Breast,Margot K Pettijohn,07-09-16,45.13L
W70-74,100 M Breast,Joann Leilich,07-18-09,1:38.78L
W70-74,200 M Breast,Joann Leilich,08-20-11,3:34.49L
W70-74,50 M Fly,Diann Uustal,08-05-17,35.02L
W70-74,100 M Fly,Margot K Pettijohn,07-10-16,1:35.09L
W70-74,200 M Fly,Margot K Pettijohn,07-24-16,3:37.41L
W70-74,200 M IM,Margot K Pettijohn,06-26-16,3:20.72L
W70-74,400 M IM,Margot K Pettijohn,06-26-16,7:16.18L
W75-79,50 M Free,Gail Roper,08-15-05,36.87L
W75-79,100 M Free,Gail Roper,07-31-05,1:26.36L
W75-79,200 M Free,Gail Roper,07-31-05,3:13.24L
W75-79,400 M Free,Jean Troy,08-11-02,6:55.62L
W75-79,800 M Free,June Krauser,09-09-01,14:10.50L
W75-79,1500 M Free,Jean Troy,08-17-03,27:09.75L
W75-79,50 M Back,Doris Steadman,08-23-99,44.43L
W75-79,100 M Back,Doris Steadman,08-23-99,1:39.06L
W75-79,200 M Back,Doris Steadman,08-23-99,3:39.41L
W75-79,50 M Breast,Joann Leilich,07-19-14,47.10L
W75-79,100 M Breast,Joann Leilich,08-15-14,1:42.18L
W75-79,200 M Breast,Joann Leilich,07-19-14,3:40.84L
W75-79,50 M Fly,Gail Roper,08-01-04,44.95L
W75-79,100 M Fly,Mary Ann Case,08-06-14,1:52.12L
W75-79,200 M Fly,June Krauser,06-24-01,4:10.69L
W75-79,200 M IM,Joann Leilich,06-22-14,3:48.34L
W75-79,400 M IM,June Krauser,06-10-01,7:51.71L
W80-84,50 M Free,Gail P Roper,03-07-09,38.64L
W80-84,100 M Free,Gail P Roper,03-07-09,1:27.55L
W80-84,200 M Free,Jean Troy,06-10-07,3:27.26L
W80-84,400 M Free,Jean Troy,06-10-07,7:24.53L
W80-84,800 M Free,Jean Troy,07-15-07,15:12.94L
W80-84,1500 M Free,Jean Troy,07-15-07,29:04.81L
W80-84,50 M Back,Bunny Cederlund,03-29-02,46.39L
W80-84,100 M Back,Betty S Lorenzi,08-07-09,1:47.29L
W80-84,200 M Back,Betty S Lorenzi,03-13-10,3:53.12L
W80-84,50 M Breast,Ann M Hirsch,08-04-11,53.40L
W80-84,100 M Breast,Ann M Hirsch,08-05-11,1:57.17L
W80-84,200 M Breast,Ann M Hirsch,07-10-11,4:17.64L
W80-84,50 M Fly,Gail P Roper,03-07-09,47.37L
W80-84,100 M Fly,Lois Nochman,05-21-04,2:06.55L
W80-84,200 M Fly,Lois Nochman,05-22-04,4:34.86L
W80-84,200 M IM,Ann M Hirsch,07-10-11,4:18.27L
W80-84,400 M IM,Jean Troy,06-10-07,9:32.43L
W85-89,50 M Free,Jean D Troy,07-15-12,44.97L
W85-89,100 M Free,Jean D Troy,06-09-12,1:43.68L
W85-89,200 M Free,Jean D Troy,07-14-12,3:49.67L
W85-89,400 M Free,Jean D Troy,07-15-12,8:06.04L
W85-89,800 M Free,Nan Bohl,07-19-14,16:48.12L
W85-89,1500 M Free,Margery Meyer,07-10-09,32:11.49L
W85-89,50 M Back,Betty S Lorenzi,07-07-12,51.81L
W85-89,100 M Back,Betty S Lorenzi,03-10-12,1:53.28L
W85-89,200 M Back,Betty S Lorenzi,03-09-13,4:01.09L
W85-89,50 M Breast,Nan Bohl,07-19-14,1:01.45L
W85-89,100 M Breast,Nan Bohl,07-12-14,2:20.49L
W85-89,200 M Breast,Ann M Hirsch,08-06-16,5:04.17L
W85-89,50 M Fly,Lois Kivi Nochman,06-07-09,1:01.94L
W85-89,100 M Fly,Lois Kivi Nochman,08-07-09,2:23.89L
W85-89,200 M Fly,Lois Kivi Nochman,07-25-09,5:07.64L
W85-89,200 M IM,Ann M Hirsch,08-06-16,5:00.53L
W85-89,400 M IM,Betty J Russ,06-30-12,10:41.24L
W90-94,50 M Free,Jean D Troy,06-11-17,52.09L
W90-94,100 M Free,Jean D Troy,07-08-17,1:58.86L
W90-94,200 M Free,Jean D Troy,06-11-17,4:18.85L
W90-94,400 M Free,Rita Simonton,08-03-08,9:04.93L
W90-94,800 M Free,Rita Simonton,08-14-08,18:53.58L
W90-94,1500 M Free,Rita Simonton,06-01-08,36:02.20L
W90-94,50 M Back,Betty S Lorenzi,08-04-17,56.89L
W90-94,100 M Back,Betty S Lorenzi,08-06-17,2:07.31L
W90-94,200 M Back,Betty S Lorenzi,08-05-17,4:38.73L
W90-94,50 M Breast,Jean D Troy,06-11-17,1:14.04L
W90-94,100 M Breast,Jean D Troy,06-10-17,2:43.03L
W90-94,200 M Breast,Jean D Troy,07-08-17,5:52.53L
W90-94,50 M Fly,Charlotte E Sanddal,06-08-13,1:29.40L
W90-94,200 M IM,Jean D Troy,03-11-17,6:18.22L
W95-99,50 M Free,Maurine E Kornfeld,08-06-16,1:04.02L
W95-99,100 M Free,Maurine E Kornfeld,08-07-16,2:22.74L
W95-99,200 M Free,Maurine E Kornfeld,08-18-16,5:03.47L
W95-99,400 M Free,Maurine E Kornfeld,08-06-16,10:12.49L
W95-99,800 M Free,Maurine E Kornfeld,08-14-17,21:39.10L
W95-99,1500 M Free,Rita Simonton,06-02-13,41:39.68L
W95-99,50 M Back,Rita Simonton,08-10-13,1:14.31L
W95-99,100 M Back,Rita Simonton,08-08-13,2:42.67L
W95-99,200 M Back,Maurine E Kornfeld,05-29-16,5:42.64L
W95-99,50 M Breast,Charlotte E Sanddal,08-04-17,2:16.08L
W95-99,100 M Breast,Charlotte E Sanddal,08-04-17,4:37.87L
W95-99,200 M Breast,Charlotte E Sanddal,08-04-17,9:18.96L
W100-104,50 M Free,Anne A Dunivin,06-04-16,2:43.80L
W100-104,100 M Free,Anne A Dunivin,06-04-16,5:42.81L
W100-104,200 M Free,Anne A Dunivin,06-04-16,12:06.09L
