2017 USMS Top 10 SCY for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
2,W18-24,50 Free,Kathryn T Murphy,24,TOC,Pacific,23.52Y
9,W18-24,50 Free,Mikkel-Ane Stipe,24,TOC,Pacific,25.04Y
2,W18-24,100 Free,Kathryn T Murphy,24,TOC,Pacific,51.15Y
7,W18-24,100 Free,Mikkel-Ane Stipe,24,TOC,Pacific,53.32Y
9,W18-24,100 Free,Christina G Bechtel,23,TOC,Pacific,54.08Y
9,W18-24,200 Free,Mikkel-Ane Stipe,24,TOC,Pacific,2:02.04Y
2,W18-24,500 Free,Catherine Breed,24,MEMO,Pacific,4:59.95Y
4,W18-24,500 Free,Mikkel-Ane Stipe,24,TOC,Pacific,5:13.85Y
6,W18-24,500 Free,Mackenzie M Leake,23,STAN,Pacific,5:21.38Y
1,W18-24,1000 Free,Mikkel-Ane Stipe,24,TOC,Pacific,10:34.11Y
3,W18-24,1000 Free,Mackenzie M Leake,23,STAN,Pacific,11:03.50Y
2,W18-24,1650 Free,Mackenzie M Leake,23,STAN,Pacific,18:24.64Y
7,W18-24,1650 Free,Danae Petrakis,24,USF,Pacific,20:41.92Y
1,W18-24,50 Back,Felicia Lee,24,TOC,Pacific,26.15Y
3,W18-24,50 Back,Tiffany C Sudarma,22,TOC,Pacific,26.80Y
5,W18-24,50 Back,Christina G Bechtel,23,TOC,Pacific,27.72Y
7,W18-24,50 Back,Anna K Senko,24,TOC,Pacific,28.22Y
10,W18-24,50 Back,Mikkel-Ane Stipe,24,TOC,Pacific,28.65Y
7,W18-24,100 Back,Elyssa Pedote,24,TOC,Pacific,1:01.21Y
1,W18-24,200 Back,Catherine Breed,24,MEMO,Pacific,2:06.42Y
3,W18-24,200 Back,Mikkel-Ane Stipe,24,TOC,Pacific,2:07.44Y
5,W18-24,200 Back,Elyssa Pedote,24,TOC,Pacific,2:11.60Y
1,W18-24,50 Breast,Danae Petrakis,24,USF,Pacific,30.75Y
8,W18-24,100 Breast,Allison A Arnold,24,TOC,Pacific,1:10.18Y
9,W18-24,100 Breast,Danae Petrakis,24,USF,Pacific,1:10.79Y
6,W18-24,200 Breast,Mackenzie M Leake,23,STAN,Pacific,2:35.65Y
1,W18-24,50 Fly,Felicia Lee,24,TOC,Pacific,25.13Y
8,W18-24,50 Fly,Tiffany C Sudarma,22,TOC,Pacific,25.82Y
9,W18-24,50 Fly,Christina G Bechtel,23,TOC,Pacific,26.10Y
3,W18-24,100 Fly,Christina G Bechtel,23,TOC,Pacific,56.42Y
4,W18-24,100 Fly,Tiffany C Sudarma,22,TOC,Pacific,56.63Y
5,W18-24,100 Fly,Catherine Breed,24,MEMO,Pacific,57.32Y
9,W18-24,100 Fly,Elyssa Pedote,24,TOC,Pacific,59.89Y
10,W18-24,100 Fly,Kathryn T Murphy,24,TOC,Pacific,1:00.28Y
4,W18-24,200 Fly,Elyssa Pedote,24,TOC,Pacific,2:12.50Y
5,W18-24,200 Fly,Allison A Arnold,24,TOC,Pacific,2:12.97Y
2,W18-24,100 IM,Tiffany C Sudarma,22,TOC,Pacific,1:00.03Y
5,W18-24,100 IM,Kathryn T Murphy,24,TOC,Pacific,1:00.88Y
2,W18-24,200 IM,Anna K Senko,24,TOC,Pacific,2:10.75Y
4,W18-24,200 IM,Mackenzie M Leake,23,STAN,Pacific,2:15.43Y
3,W18-24,400 IM,Mackenzie M Leake,23,STAN,Pacific,4:47.04Y
3,W25-29,50 Free,Katherine Raatz,28,TOC,Pacific,23.79Y
3,W25-29,100 Free,Katherine Raatz,28,TOC,Pacific,51.91Y
5,W25-29,100 Free,Sara E Delay,26,WCM,Pacific,52.08Y
9,W25-29,200 Free,Lindsay E Gaudinier,27,WCM,Pacific,1:58.75Y
10,W25-29,500 Free,Lindsay E Gaudinier,27,WCM,Pacific,5:24.72Y
6,W25-29,1000 Free,Lindsay E Gaudinier,27,WCM,Pacific,11:14.85Y
4,W25-29,1650 Free,Lindsay E Gaudinier,27,WCM,Pacific,19:05.04Y
6,W25-29,1650 Free,Jennifer L Mohn,25,DAM,Pacific,19:20.22Y
2,W25-29,50 Back,Penelope R Yamauchi,27,MEMO,Pacific,26.95Y
3,W25-29,50 Back,Tammy H Choy,27,MEMO,Pacific,27.66Y
9,W25-29,50 Back,Katherine Raatz,28,TOC,Pacific,28.43Y
1,W25-29,200 Back,Penelope R Yamauchi,27,MEMO,Pacific,2:04.61Y
1,W25-29,50 Breast,Danielle M Herrmann,29,CLOV,Pacific,27.12Y
4,W25-29,50 Breast,Penelope R Yamauchi,26,MEMO,Pacific,29.79Y
1,W25-29,100 Breast,Danielle M Herrmann,29,CLOV,Pacific,59.80Y
4,W25-29,100 Breast,Penelope R Yamauchi,26,MEMO,Pacific,1:05.41Y
3,W25-29,200 Breast,Penelope R Yamauchi,26,MEMO,Pacific,2:21.24Y
1,W25-29,50 Fly,Danielle M Herrmann,29,CLOV,Pacific,24.19Y
5,W25-29,50 Fly,Katherine Raatz,28,TOC,Pacific,25.69Y
1,W25-29,100 Fly,Danielle M Herrmann,29,CLOV,Pacific,53.71Y
5,W25-29,100 Fly,Katherine Raatz,28,TOC,Pacific,56.39Y
10,W25-29,200 Fly,Jillian M Dahle,26,MEMO,Pacific,2:18.72Y
1,W25-29,100 IM,Danielle M Herrmann,29,CLOV,Pacific,54.40Y
2,W25-29,100 IM,Penelope R Yamauchi,26,MEMO,Pacific,57.78Y
10,W25-29,100 IM,Courtney Kilkuts,29,TOC,Pacific,1:00.06Y
1,W25-29,200 IM,Danielle M Herrmann,29,CLOV,Pacific,2:00.62Y
