2018 USMS Top 10 SCY for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
4,W18-24,100 Free,Elizabeth Pelton,24,MEMO,Pacific,52.93Y
9,W18-24,100 Free,Catherine Breed,24,TOC,Pacific,53.65Y
9,W18-24,200 Free,Mikkel-Ane Stipe,24,TOC,Pacific,1:59.51Y
10,W18-24,500 Free,LillyBelle K Deer,24,DAM,Pacific,5:36.41Y
2,W18-24,50 Back,Elizabeth Pelton,24,MEMO,Pacific,26.61Y
3,W18-24,50 Back,Kali L Conlon,22,SRVM,Pacific,26.92Y
6,W18-24,50 Back,Tiffany C Sudarma,23,TOC,Pacific,27.24Y
2,W18-24,100 Back,Tiffany C Sudarma,23,TOC,Pacific,58.11Y
5,W18-24,100 Back,Kali L Conlon,22,SRVM,Pacific,59.11Y
8,W18-24,100 Back,Katherine Yu,23,SCSC,Pacific,1:01.27Y
9,W18-24,100 Back,Mikkel-Ane Stipe,24,TOC,Pacific,1:01.36Y
4,W18-24,200 Back,Katherine Yu,23,SCSC,Pacific,2:10.13Y
9,W18-24,50 Breast,Amelia B Schachter,23,USF,Pacific,31.75Y
9,W18-24,100 Breast,Amelia B Schachter,23,USF,Pacific,1:09.22Y
8,W18-24,200 Breast,Amelia B Schachter,23,USF,Pacific,2:34.38Y
4,W18-24,50 Fly,Kali L Conlon,22,SRVM,Pacific,26.09Y
7,W18-24,50 Fly,Elizabeth Pelton,24,MEMO,Pacific,26.40Y
8,W18-24,50 Fly,Catherine Breed,24,TOC,Pacific,26.50Y
10,W18-24,50 Fly,Tiffany C Sudarma,23,TOC,Pacific,26.82Y
1,W18-24,100 Fly,Tiffany C Sudarma,23,TOC,Pacific,57.73Y
2,W18-24,100 Fly,Catherine Breed,24,TOC,Pacific,57.76Y
7,W18-24,100 Fly,Christina G Bechtel,24,TOC,Pacific,59.11Y
5,W18-24,100 IM,Tiffany C Sudarma,23,TOC,Pacific,59.36Y
2,W25-29,100 Free,Felicia Lee,25,TOC,Pacific,50.70Y
2,W25-29,200 Free,Allison A Arnold,25,TOC,Pacific,1:52.22Y
4,W25-29,200 Free,Katie C Kastes,29,TOC,Pacific,1:54.26Y
5,W25-29,200 Free,Anna K Senko,26,TOC,Pacific,1:55.22Y
9,W25-29,200 Free,Christine A Olson,27,TOC,Pacific,2:00.24Y
1,W25-29,500 Free,Catherine Breed,25,TOC,Pacific,4:54.67Y
2,W25-29,500 Free,Allison A Arnold,25,TOC,Pacific,5:01.29Y
4,W25-29,500 Free,Anna K Senko,26,TOC,Pacific,5:22.87Y
5,W25-29,500 Free,Lindsay E Gaudinier,28,WCM,Pacific,5:24.15Y
8,W25-29,500 Free,Katrina L Winsor,26,CS,Pacific,5:29.28Y
