2018 USMS Top 10 LCM for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
1,W18-24,50 Free,Kali L Conlon,23,SRVM,Pacific,28.04M
4,W18-24,50 Free,Kathryn I Siegel,24,USF,Pacific,29.47M
8,W18-24,50 Free,Josie Furbershaw,24,MELO,Pacific,30.34M
2,W18-24,100 Free,Kali L Conlon,23,SRVM,Pacific,1:02.28M
7,W18-24,100 Free,Josie Furbershaw,24,MELO,Pacific,1:07.62M
2,W18-24,400 Free,Breanna M Schafer,23,VACA,Pacific,5:08.07M
5,W18-24,400 Free,Vivian A Crow,21,DAM,Pacific,5:13.57M
9,W18-24,400 Free,Josie Furbershaw,24,MELO,Pacific,5:29.22M
4,W18-24,800 Free,Kathryn I Siegel,24,USF,Pacific,11:20.31M
1,W18-24,1500 Free,Marissa Brown,24,UC38,Pacific,19:12.84M
2,W18-24,1500 Free,Kathleen Schafle,20,UC38,Pacific,20:39.08M
4,W18-24,1500 Free,Amaya M Batiza,23,TVM,Pacific,21:04.65M
1,W18-24,50 Back,Kali L Conlon,23,SRVM,Pacific,31.29M
2,W18-24,50 Back,Kathryn I Siegel,24,USF,Pacific,33.63M
7,W18-24,50 Back,Breanna M Schafer,23,VACA,Pacific,35.79M
9,W18-24,50 Back,Josie Furbershaw,24,MELO,Pacific,36.59M
1,W18-24,100 Back,Kali L Conlon,23,SRVM,Pacific,1:10.89M
3,W18-24,100 Back,Vivian A Crow,21,DAM,Pacific,1:16.18M
7,W18-24,100 Back,Laura Vidano,21,USF,Pacific,1:21.61M
10,W18-24,100 Back,Josie Furbershaw,24,MELO,Pacific,1:24.03M
1,W18-24,200 Back,Vivian A Crow,21,DAM,Pacific,2:40.75M
4,W18-24,200 Back,Breanna M Schafer,23,VACA,Pacific,2:44.82M
5,W18-24,200 Back,Kyra Sanborn,24,UC38,Pacific,2:51.48M
6,W18-24,200 Back,Kathryn I Siegel,24,USF,Pacific,2:52.47M
3,W18-24,50 Breast,Julia Lane,24,USF,Pacific,41.16M
4,W18-24,200 Breast,Vivian A Crow,21,DAM,Pacific,3:08.30M
8,W18-24,200 Breast,Julia Lane,24,USF,Pacific,3:26.59M
1,W18-24,50 Fly,Kali L Conlon,23,SRVM,Pacific,29.49M
2,W18-24,50 Fly,Tara K Halsted,23,DAM,Pacific,30.08M
4,W18-24,50 Fly,Vivian A Crow,21,DAM,Pacific,31.69M
8,W18-24,50 Fly,Laura Vidano,21,USF,Pacific,32.62M
10,W18-24,50 Fly,Josie Furbershaw,24,MELO,Pacific,32.85M
2,W18-24,100 Fly,Kathryn I Siegel,24,USF,Pacific,1:09.97M
3,W18-24,200 Fly,Breanna M Schafer,23,VACA,Pacific,2:52.26M
5,W18-24,200 IM,Kyra Sanborn,24,UC38,Pacific,2:47.47M
2,W25-29,50 Free,Jeanette C Dove,26,USF,Pacific,28.17M
7,W25-29,50 Free,Danae Petrakis,26,USF,Pacific,29.08M
9,W25-29,50 Free,Kristina Petrakis,29,USF,Pacific,29.36M
10,W25-29,50 Free,LillyBelle K Deer,25,DAM,Pacific,30.24M
5,W25-29,100 Free,Danae Petrakis,26,USF,Pacific,1:04.79M
1,W25-29,200 Free,Lindsay E Gaudinier,29,WCM,Pacific,2:17.93M
1,W25-29,400 Free,Allison A Arnold,26,TOC,Pacific,4:49.80M
4,W25-29,400 Free,Lindsay E Gaudinier,29,WCM,Pacific,4:54.02M
2,W25-29,800 Free,Lindsay E Gaudinier,29,WCM,Pacific,10:13.70M
4,W25-29,800 Free,LillyBelle K Deer,25,DAM,Pacific,10:48.07M
8,W25-29,800 Free,Jennifer L Mohn,27,DAM,Pacific,11:20.54M
3,W25-29,1500 Free,Danae Petrakis,26,USF,Pacific,21:10.54M
4,W25-29,1500 Free,Corinne Teasdale-Schafle,26,WCM,Pacific,21:34.71M
5,W25-29,1500 Free,Kristina Petrakis,29,USF,Pacific,22:21.38M
6,W25-29,1500 Free,Jennifer L Mohn,27,DAM,Pacific,22:42.33M
2,W25-29,50 Back,Jeanette C Dove,26,USF,Pacific,32.15M
4,W25-29,50 Back,Anette A Skoda,27,LAMV,Pacific,33.75M
7,W25-29,50 Back,Elyssa Pedote,25,TOC,Pacific,34.77M
6,W25-29,100 Back,Lia Schallert,28,USF,Pacific,1:18.63M
8,W25-29,100 Back,Allison A Arnold,26,TOC,Pacific,1:20.88M
5,W25-29,200 Back,Lindsay E Gaudinier,29,WCM,Pacific,2:43.14M
6,W25-29,200 Back,Lia Schallert,28,USF,Pacific,2:43.32M
9,W25-29,200 Back,LillyBelle K Deer,25,DAM,Pacific,2:58.55M
2,W25-29,50 Breast,Danae Petrakis,26,USF,Pacific,35.23M
6,W25-29,50 Breast,Anette A Skoda,27,LAMV,Pacific,38.11M
7,W25-29,50 Breast,Kristina Petrakis,29,USF,Pacific,39.14M
10,W25-29,50 Breast,Jeanette C Dove,26,USF,Pacific,40.27M
2,W25-29,100 Breast,Danae Petrakis,26,USF,Pacific,1:17.80M
3,W25-29,100 Breast,Christine A Olson,28,TOC,Pacific,1:20.39M
6,W25-29,100 Breast,Lia Schallert,28,USF,Pacific,1:23.11M
9,W25-29,100 Breast,Anette A Skoda,27,LAMV,Pacific,1:25.57M
2,W25-29,200 Breast,Allison A Arnold,26,TOC,Pacific,2:55.98M
3,W25-29,200 Breast,Lia Schallert,28,USF,Pacific,3:00.82M
7,W25-29,200 Breast,Lindsay E Gaudinier,29,WCM,Pacific,3:08.45M
8,W25-29,200 Breast,Rachel Weber,27,RHAC,Pacific,3:18.94M
9,W25-29,200 Breast,Christine Chu,25,USF,Pacific,3:19.25M
4,W25-29,50 Fly,Danae Petrakis,26,USF,Pacific,30.64M
7,W25-29,50 Fly,Kristina Petrakis,29,USF,Pacific,31.46M
8,W25-29,50 Fly,Jeanette C Dove,26,USF,Pacific,31.71M
9,W25-29,50 Fly,Anette A Skoda,27,LAMV,Pacific,31.90M
