M,80-84,50,Freestyle,William G Van Horn,2019-10-13,00:00:35.32,
M,75-79,100,Freestyle,Richard Burns,2019-10-12,00:01:07.75,
M,40-44,200,Freestyle,Tamas Kerekjarto,2019-10-13,00:01:57.32,
M,70-74,400,Freestyle,Alan D Bernard,2019-10-13,00:05:30.46,
M,70-74,800,Freestyle,Bob B Upshaw,2019-01-26,00:12:10.55,
M,30-34,1500,Freestyle,Chad E La Tourette,2019-01-26,00:15:30.92,
M,25-29,50,Backstroke,Iskender Baslakov,2019-10-13,00:00:24.87,
M,30-34,50,Backstroke,Peter R Kline,2019-10-13,00:00:25.54,
M,50-54,50,Backstroke,Rick M Hamilton,2019-12-08,00:00:29.22,
M,55-59,50,Backstroke,Steven V Ennis,2019-10-13,00:00:29.95,
M,25-29,100,Backstroke,Iskender Baslakov,2019-10-12,00:00:55.20,
M,30-34,100,Backstroke,Peter R Kline,2019-10-12,00:00:56.12,
M,75-79,100,Backstroke,Richard Burns,2019-12-07,00:01:14.03,
M,25-29,50,Breaststroke,Hunter Cobleigh,2019-10-12,00:00:28.66,
M,75-79,50,Breaststroke,David R Gildea,2019-10-12,00:00:40.24,
M,30-34,100,Breaststroke,Brandon J Fischer,2019-10-12,00:01:01.20,
M,75-79,100,Breaststroke,Kenneth A Frost,2019-10-12,00:01:30.21,
M,30-34,200,Breaststroke,Brandon J Fischer,2019-09-22,00:02:12.92,
M,35-39,100,Butterfly,Juan P Valdivieso,2019-10-13,00:00:57.65,
M,60-64,100,Butterfly,John R Morales,2019-05-24,00:01:08.72,
M,75-79,100,Butterfly,Richard Burns,2019-12-08,00:01:17.59,
M,35-39,200,Butterfly,Juan P Valdivieso,2019-10-12,00:02:11.41,
M,70-74,200,Butterfly,Alan D Bernard,2019-10-12,00:03:04.94,
M,30-34,100,Individual Medley,Peter R Kline,2019-10-13,00:00:56.76,
M,30-34,200,Individual Medley,Peter R Kline,2019-10-12,00:02:06.01,
M,70-74,200,Individual Medley,Alek I Shestakov,2019-05-24,00:02:41.76,
M,70-74,400,Individual Medley,Alek I Shestakov,2019-09-22,00:05:48.15,
M,75-79,400,Individual Medley,Richard Burns,2019-09-22,00:06:26.09,
F,75-79,200,Freestyle,Daniela Barnea,2019-10-13,00:03:23.33,
F,70-74,400,Freestyle,Ruth Y Shaps,2019-01-26,00:06:17.01,
F,25-29,800,Freestyle,Mackenzie M Leake,2019-10-12,00:09:40.57,
F,70-74,800,Freestyle,Ruth Y Shaps,2019-01-26,00:12:43.75,
F,70-74,1500,Freestyle,Ruth Y Shaps,2019-01-26,00:24:03.42,
F,65-69,50,Backstroke,Laura B Val,2019-09-22,00:00:33.41,
F,75-79,50,Backstroke,Daniela Barnea,2019-10-09,00:00:49.54,
F,75-79,100,Backstroke,Daniela Barnea,2019-10-12,00:01:49.38,
F,70-74,200,Backstroke,Ruth Y Shaps,2019-10-13,00:03:27.59,
F,75-79,50,Breaststroke,Daniela Barnea,2019-10-12,00:00:47.97,
F,75-79,100,Breaststroke,Daniela Barnea,2019-10-10,00:01:43.58,
F,75-79,200,Breaststroke,Daniela Barnea,2019-09-22,00:03:45.84,
F,75-79,50,Butterfly,Daniela Barnea,2019-10-10,00:00:45.34,
F,65-69,100,Butterfly,Laura B Val,2019-12-08,00:01:13.47,
F,75-79,100,Butterfly,Daniela Barnea,2019-10-13,00:01:46.04,
F,75-79,200,Butterfly,Daniela Barnea,2019-09-22,00:03:57.22,
F,65-69,100,Individual Medley,Laura B Val,2019-12-08,00:01:16.42,
F,75-79,100,Individual Medley,Daniela Barnea,2019-10-13,00:01:38.99,
F,65-69,200,Individual Medley,Laura B Val,2019-12-06,00:02:46.04,
F,75-79,200,Individual Medley,Daniela Barnea,2019-10-12,00:03:34.05,
F,75-79,400,Individual Medley,Daniela Barnea,2019-09-22,00:07:42.05,
