M,30-34,200,Freestyle,Marcos Lavado,2022-06-25,00:01:56.57,
M,55-59,400,Freestyle,Barton S Wells,2022-08-05,00:04:28.78,
M,55-59,1500,Freestyle,Barton S Wells,2022-09-11,00:18:05.27,
M,55-59,100,Backstroke,Rick Hamilton,2022-07-31,00:01:08.10,
M,55-59,50,Breaststroke,Paul G Kraaijvanger,2022-07-31,00:00:32.30,
M,75-79,50,Breaststroke,Kenneth Frost,2022-07-31,00:00:41.60,
M,55-59,100,Breaststroke,Paul G Kraaijvanger,2022-07-30,00:01:13.13,
M,75-79,100,Breaststroke,Kenneth Frost,2022-07-30,00:01:32.61,
M,75-79,200,Breaststroke,Kenneth Frost,2022-07-31,00:03:29.90,
M,65-69,50,Butterfly,Paul V Carter,2022-08-13,00:00:29.36,
M,85-89,50,Butterfly,Jack C Fleming,2022-07-31,00:00:57.66,
M,85-89,200,Butterfly,Jack C Fleming,2022-07-31,00:05:59.00,
M,70-74,200,Individual Medley,Craig M Ottersen,2022-05-22,00:02:54.29,
M,55-59,400,Individual Medley,Rick Hamilton,2022-08-12,00:05:29.88,
F,70-74,200,Freestyle,Laura B Val,2022-08-13,00:02:29.72,
F,25-29,400,Freestyle,Catherine Breed,2022-07-31,00:04:23.62,
F,70-74,400,Freestyle,Laura B Val,2022-08-13,00:05:21.19,
F,75-79,800,Freestyle,Stephanie I Scott,2022-07-30,00:14:55.99,
F,50-54,1500,Freestyle,Alison Zamanian,2022-07-29,00:18:15.80,
F,75-79,1500,Freestyle,Stephanie I Scott,2022-07-29,00:28:09.74,
F,30-34,50,Backstroke,Lauren T Breuer,2022-07-30,00:00:30.98,
F,70-74,100,Backstroke,Laura B Val,2022-07-31,00:01:17.26,
F,50-54,200,Backstroke,Alison Zamanian,2022-07-30,00:02:36.60,
F,35-39,50,Breaststroke,Danielle M Herrmann,2022-04-30,00:00:31.06,
F,90-94,50,Breaststroke,Ann M Hirsch,2022-06-25,00:01:34.85,
F,35-39,100,Breaststroke,Danielle M Herrmann,2022-07-30,00:01:09.77,
F,55-59,100,Breaststroke,Robin A Bulman,2022-07-30,00:01:31.50,
F,90-94,100,Breaststroke,Ann M Hirsch,2022-06-25,00:03:29.38,
F,35-39,50,Butterfly,Danielle M Herrmann,2022-04-03,00:00:29.24,
F,70-74,50,Butterfly,Laura B Val,2022-08-13,00:00:34.93,
F,70-74,50,Butterfly,Laura B Val,2022-07-31,00:00:34.93,
F,35-39,100,Butterfly,Danielle M Herrmann,2022-07-30,00:01:03.33,
F,35-39,200,Individual Medley,Danielle M Herrmann,2022-08-06,00:02:21.09,
