M,80-84,100,Freestyle,Richard Todd,2022-10-09,00:01:20.97,
M,75-79,200,Freestyle,James R DeLacy,2022-10-09,00:02:46.19,
M,55-59,400,Freestyle,Barton S Wells,2022-10-29,00:04:21.72,
M,55-59,800,Freestyle,Barton S Wells,2022-10-28,00:09:01.47,
M,70-74,800,Freestyle,Gordon E Bell,2022-10-08,00:11:18.10,
M,55-59,1500,Freestyle,Barton S Wells,2022-12-02,00:17:21.15,
M,75-79,1500,Freestyle,Edward Rudloff,2022-01-29,00:23:37.09,
M,80-84,50,Backstroke,Richard Todd,2022-10-09,00:00:42.12,
M,80-84,100,Backstroke,Richard Todd,2022-10-08,00:01:32.96,
M,30-34,50,Breaststroke,Brandon J Fischer,2022-10-08,00:00:27.60,
M,80-84,50,Breaststroke,Richard Todd,2022-10-08,00:00:45.57,
M,30-34,100,Breaststroke,Brandon J Fischer,2022-10-08,00:00:59.42,
M,80-84,100,Breaststroke,Richard Todd,2022-10-08,00:01:39.86,
M,30-34,200,Breaststroke,Brandon J Fischer,2022-10-09,00:02:11.44,
M,75-79,200,Breaststroke,Gary T Fitschen,2022-10-09,00:03:22.10,
M,30-34,100,Butterfly,Marcos Lavado,2022-10-09,00:00:54.71,
M,30-34,200,Butterfly,Marcos Lavado,2022-10-08,00:02:02.73,
M,85-89,200,Butterfly,Jack C Fleming,2022-10-08,00:05:58.75,
M,30-34,100,Individual Medley,Brandon J Fischer,2022-10-09,00:00:56.65,
F,70-74,50,Freestyle,Laura B Val,2022-12-03,00:00:30.55,
F,70-74,100,Freestyle,Laura B Val,2022-12-02,00:01:06.61,
F,75-79,100,Freestyle,Ruth Y Shaps,2022-10-08,00:01:22.95,
F,70-74,200,Freestyle,Laura B Val,2022-10-09,00:02:27.89,
F,75-79,200,Freestyle,Ruth Y Shaps,2022-10-09,00:03:08.78,
F,75-79,400,Freestyle,Ruth Y Shaps,2022-10-09,00:06:32.27,
F,45-49,800,Freestyle,Heidi S George,2022-10-28,00:09:01.52,
F,75-79,800,Freestyle,Ruth Y Shaps,2022-10-08,00:13:11.76,
F,45-49,1500,Freestyle,Heidi S George,2022-12-02,00:17:07.20,
F,50-54,1500,Freestyle,Alison Zamanian,2022-01-29,00:17:47.04,
F,70-74,1500,Freestyle,Sally K Guthrie,2022-01-29,00:24:02.08,
F,75-79,1500,Freestyle,Ruth Y Shaps,2022-10-07,00:25:26.12,
F,30-34,50,Backstroke,Lauren T Breuer,2022-10-09,00:00:30.28,
F,70-74,50,Backstroke,Laura B Val,2022-12-04,00:00:33.80,
F,75-79,50,Backstroke,Ruth Y Shaps,2022-10-09,00:00:47.01,
F,30-34,100,Backstroke,Lauren T Breuer,2022-10-08,00:01:05.05,
F,70-74,100,Backstroke,Laura B Val,2022-12-03,00:01:13.66,
F,30-34,200,Backstroke,Lauren T Breuer,2022-10-09,00:02:23.74,
F,35-39,50,Breaststroke,Danielle M Herrmann,2022-10-08,00:00:31.25,
F,35-39,100,Breaststroke,Danielle M Herrmann,2022-10-08,00:01:08.59,
F,50-54,100,Breaststroke,Alison Zamanian,2022-10-08,00:01:22.11,
F,35-39,200,Breaststroke,Danielle M Herrmann,2022-10-09,00:02:32.68,
F,35-39,50,Butterfly,Danielle M Herrmann,2022-10-08,00:00:27.29,
F,70-74,50,Butterfly,Laura B Val,2022-12-03,00:00:34.53,
F,35-39,100,Butterfly,Danielle M Herrmann,2022-10-09,00:01:01.98,
F,50-54,200,Butterfly,Alison Zamanian,2022-10-08,00:02:33.24,
F,35-39,100,Individual Medley,Danielle M Herrmann,2022-10-09,00:01:03.94,
F,70-74,100,Individual Medley,Laura B Val,2022-12-04,00:01:18.81,
