M,60-64,50,Freestyle,David E Boatwright,2021-11-07,00:00:23.59,
M,60-64,100,Freestyle,David Boatwright,2021-11-07,00:00:52.37,
M,55-59,100,Backstroke,Brian A Jones,2021-07-24,00:00:56.56,
M,55-59,200,Backstroke,Brian A Jones,2021-07-25,00:02:03.17,
M,30-34,100,Breaststroke,Brandon J Fischer,2021-12-19,00:00:52.09,
M,30-34,200,Individual Medley,Brandon J Fischer,2021-12-19,00:01:47.82,
F,70-74,50,Freestyle,Laura B Val,2022-02-05,00:00:27.95,
F,45-49,500,Freestyle,Heidi S George,2021-07-22,00:05:03.45,
F,45-49,1000,Freestyle,Heidi S George,2021-12-19,00:10:18.26,
F,45-49,1650,Freestyle,Heidi S George,2021-07-21,00:17:05.13,
F,70-74,50,Backstroke,Laura B Val,2022-02-05,00:00:32.29,
F,70-74,100,Backstroke,Laura B Val,2022-02-05,00:01:08.98,
F,70-74,200,Backstroke,Sally K Guthrie,2022-02-05,00:03:16.21,
F,30-34,100,Breaststroke,Danielle M Herrmann,2021-12-19,00:00:59.21,
F,30-34,200,Breaststroke,Danielle M Herrmann,2021-12-19,00:02:11.78,
F,70-74,50,Butterfly,Laura B Val,2022-02-05,00:00:32.35,
F,70-74,100,Butterfly,Laura B Val,2022-02-05,00:01:11.23,
F,70-74,200,Butterfly,Laura B Val,2022-02-05,00:02:42.80,
