USMS Men's Long Course Meters Records 11/04/2023
Age Group,Event,Name,Date,Time
M18-24,50 M Free,Josh Schneider,07-01-12,21.78L
M18-24,100 M Free,Coleman Stewart,06-16-21,48.45L
M18-24,200 M Free,Joe P Tristan,08-16-98,1:52.74L
M18-24,400 M Free,Hyun Seung Lee,08-13-07,4:04.68L
M18-24,800 M Free,Ryan Rosenbaum,08-06-15,8:44.80L
M18-24,1500 M Free,Jacob J Jezek,08-07-13,16:58.37L
M18-24,50 M Back,Dave Rollins,08-15-05,26.91L
M18-24,100 M Back,Eugene Godsoe,06-27-12,53.61L
M18-24,200 M Back,Takeharu Fujimori,07-30-18,2:03.82L
M18-24,50 M Breast,Dave Rollins,08-15-05,28.87L
M18-24,100 M Breast,Jacob R Montague,08-25-16,1:00.68L
M18-24,200 M Breast,Elliot Keefer,06-29-12,2:11.10L
M18-24,50 M Fly,Thomas A Shields,08-08-14,24.20L
M18-24,100 M Fly,Thomas A Shields,08-08-14,51.29L
M18-24,200 M Fly,Thomas A Shields,08-06-14,1:55.09L
M18-24,200 M IM,Jacob R Montague,06-30-16,2:05.80L
M18-24,400 M IM,Peter A Galan,08-21-10,4:44.53L
M25-29,50 M Free,Nathan Adrian,08-10-14,21.69L
M25-29,100 M Free,Nathan Adrian,06-27-17,47.96L
M25-29,200 M Free,Alex Wold,06-26-13,1:50.69L
M25-29,400 M Free,Alex Wold,06-28-13,3:55.01L
M25-29,800 M Free,David Heron,08-12-22,8:24.46L
M25-29,1500 M Free,David Heron,08-12-22,15:49.04L
M25-29,50 M Back,Adam M Mania,05-22-11,26.05L
M25-29,100 M Back,Adam M Mania,08-03-11,55.15L
M25-29,200 M Back,Hayes Johnson,06-24-17,2:03.61L
M25-29,50 M Breast,Pavel Romanov,08-13-22,27.83L
M25-29,100 M Breast,BJ Johnson,06-28-13,1:00.68L
M25-29,200 M Breast,BJ Johnson,06-26-13,2:10.09L
M25-29,50 M Fly,Kohei Kawamoto,08-16-08,23.71L
M25-29,100 M Fly,Thomas A Shields,07-02-16,51.20L
M25-29,200 M Fly,Thomas A Shields,06-29-16,1:55.81L
M25-29,200 M IM,Adam J Ritter,07-14-13,2:04.40L
M25-29,400 M IM,Alex Wold,06-27-13,4:20.83L
M30-34,50 M Free,Anthony L Ervin,08-10-14,21.55L
M30-34,100 M Free,Anthony L Ervin,08-06-14,48.71L
M30-34,200 M Free,Darian R Townsend,08-07-14,1:49.34L
M30-34,400 M Free,Darian R Townsend,07-23-16,3:58.12L
M30-34,800 M Free,Chad E La Tourette,08-07-19,8:28.76L
M30-34,1500 M Free,Chad E La Tourette,08-07-19,15:52.24L
M30-34,50 M Back,Matt Grevers,06-29-17,24.67L
M30-34,100 M Back,Matt Grevers,06-30-17,52.71L
M30-34,200 M Back,Sean Murphy,07-09-94,2:05.62L
M30-34,50 M Breast,Brandon J Fischer,06-15-19,27.26L
M30-34,100 M Breast,Brandon J Fischer,06-13-19,59.86L
M30-34,200 M Breast,Brandon J Fischer,06-14-19,2:11.91L
M30-34,50 M Fly,Roland M Schoeman,07-13-13,23.26L
