USMS Women's Short Course Meters Records 11/04/2023
Age Group,Event,Name,Date,Time
W18-24,50 M Free,Jennifer K Beckberger,11-20-10,25.58S
W18-24,100 M Free,Jennifer K Beckberger,11-21-10,55.86S
W18-24,200 M Free,Alexandra K Lee,12-06-09,2:03.39S
W18-24,400 M Free,Marina Falcone,12-04-10,4:19.91S
W18-24,800 M Free,Dawn Heckman,12-09-01,8:58.71S
W18-24,1500 M Free,Dawn Heckman,11-11-01,17:15.23S
W18-24,50 M Back,Paige E Francis,12-10-00,29.69S
W18-24,100 M Back,Petra Klosova,11-21-09,59.45S
W18-24,200 M Back,Marina Nascimento,10-25-14,2:18.11S
W18-24,50 M Breast,Beata Kaszuba,12-10-95,32.09S
W18-24,100 M Breast,Beata Kaszuba,12-10-95,1:08.89S
W18-24,200 M Breast,Micah Lawrence,10-25-14,2:32.80S
W18-24,50 M Fly,Meg B Gill,12-05-09,28.37S
W18-24,100 M Fly,Katherine Mills,10-29-11,1:01.22S
W18-24,200 M Fly,Alexandra E Young,10-29-11,2:19.83S
W18-24,100 M IM,Kara J Denby,12-06-09,1:01.74S
W18-24,200 M IM,Destiny M Nelson,12-12-20,2:17.43S
W18-24,400 M IM,Katherine Mills,10-29-11,4:50.84S
W25-29,50 M Free,Liliana Ibanez Lopez,12-02-17,25.52S
W25-29,100 M Free,Liliana Ibanez Lopez,12-01-17,55.06S
W25-29,200 M Free,Liliana Ibanez Lopez,12-03-17,1:59.39S
W25-29,400 M Free,Sheila Taormina,03-31-96,4:24.18S
W25-29,800 M Free,Sheila Taormina,03-31-96,8:51.18S
W25-29,1500 M Free,Sheila Taormina,03-31-96,16:36.07S
W25-29,50 M Back,Marina Spadoni,11-18-18,28.40S
W25-29,100 M Back,Marina Spadoni,11-18-18,1:01.76S
W25-29,200 M Back,Lia Oberstar,11-17-01,2:14.77S
W25-29,50 M Breast,Megan M Jendrick,11-21-10,31.87S
W25-29,100 M Breast,Megan Jendrick,04-15-12,1:10.04S
W25-29,200 M Breast,Megan Jendrick,04-14-12,2:29.80S
W25-29,50 M Fly,Claire C Donahue,10-11-15,26.31S
W25-29,100 M Fly,Claire C Donahue,12-12-15,58.11S
W25-29,200 M Fly,Claire C Donahue,10-10-15,2:17.83S
W25-29,100 M IM,Megan Jendrick,01-23-11,1:03.41S
W25-29,200 M IM,Wenke Hansen,12-12-98,2:21.79S
W25-29,400 M IM,Wenke Hansen,12-13-98,5:02.54S
W30-34,50 M Free,Erika A Erndl,11-10-12,25.69S
W30-34,100 M Free,Erika A Erndl,10-13-12,54.75S
W30-34,200 M Free,Karlyn Pipes-Neilsen,12-15-96,2:04.64S
W30-34,400 M Free,Dawn M Heckman,12-04-11,4:17.82S
W30-34,800 M Free,Dawn M Heckman,12-04-11,8:38.58S
W30-34,1500 M Free,Dawn M Heckman,12-02-11,16:26.93S
W30-34,50 M Back,Noriko Inada,11-21-09,27.61S
W30-34,100 M Back,Noriko Inada,11-22-09,59.53S
W30-34,200 M Back,Lia-Genevieve Oberstar-Brown,11-22-08,2:12.47S
W30-34,50 M Breast,Hannah Caldas,12-04-11,32.17S
W30-34,100 M Breast,Wenke K Hansen,12-10-00,1:10.00S
W30-34,200 M Breast,Wenke K Hansen,12-10-00,2:30.65S
W30-34,50 M Fly,Hannah Caron,03-18-23,27.53S
W30-34,100 M Fly,Erika A Erndl,10-13-12,1:00.34S
W30-34,200 M Fly,Katrina Radke,10-05-03,2:19.34S
W30-34,100 M IM,Erika A Erndl,10-13-12,1:02.52S
W30-34,200 M IM,Karlyn Pipes-Neilsen,12-07-96,2:18.79S
W30-34,400 M IM,Chelsea B Nauta,10-11-19,4:51.23S
W35-39,50 M Free,Dara Torres,12-03-06,25.10S
W35-39,100 M Free,Dara Torres,12-03-06,54.95S
W35-39,200 M Free,Karlyn Pipes-Neilsen,12-14-97,2:03.56S
W35-39,400 M Free,Karlyn Pipes-Neilsen,12-12-99,4:22.56S
W35-39,800 M Free,Heidi S George,09-27-15,8:57.60S
W35-39,1500 M Free,Heidi S George,09-27-15,16:52.94S
W35-39,50 M Back,Noriko Inada,11-13-16,27.63S
W35-39,100 M Back,Noriko Inada,11-19-17,1:00.43S
W35-39,200 M Back,Karlyn Pipes-Neilsen,12-14-97,2:14.10S
W35-39,50 M Breast,Danielle M Herrmann,10-08-22,31.25S
W35-39,100 M Breast,Danielle M Herrmann,10-08-22,1:08.59S
W35-39,200 M Breast,Danielle M Herrmann,10-09-22,2:32.68S
W35-39,50 M Fly,Danielle M Herrmann,10-08-22,27.29S
W35-39,100 M Fly,Danielle M Herrmann,10-09-22,1:01.98S
W35-39,200 M Fly,Karlyn Pipes-Neilsen,12-14-97,2:18.41S
W35-39,100 M IM,Danielle M Herrmann,10-09-22,1:03.94S
W35-39,200 M IM,Karlyn Pipes-Neilsen,12-10-00,2:19.08S
W35-39,400 M IM,Karlyn Pipes-Neilsen,12-14-97,4:52.85S
W40-44,50 M Free,Erika L Braun,12-14-14,26.02S
W40-44,100 M Free,Erika L Braun,12-14-14,57.08S
W40-44,200 M Free,Karlyn Pipes-Neilsen,12-14-03,2:05.26S
W40-44,400 M Free,Karlyn Pipes-Neilsen,12-14-03,4:21.75S
W40-44,800 M Free,Heidi S George,12-03-17,8:55.95S
W40-44,1500 M Free,Heidi S George,12-01-17,16:50.92S
W40-44,50 M Back,Sheri L Hart,10-14-12,30.02S
W40-44,100 M Back,Sheri L Hart,10-29-11,1:03.48S
W40-44,200 M Back,Jennifer Mihalik,12-04-21,2:17.29S
W40-44,50 M Breast,Katie Glenn,12-02-18,32.16S
W40-44,100 M Breast,Cynthia J Lewis,12-05-15,1:09.95S
W40-44,200 M Breast,Susan G Von Der Lippe,11-16-08,2:32.37S
W40-44,50 M Fly,Erika L Braun,03-16-13,28.19S
W40-44,100 M Fly,Susan G Von Der Lippe,11-21-09,1:01.70S
W40-44,200 M Fly,Susan G Von Der Lippe,11-19-06,2:20.66S
W40-44,100 M IM,Lisa Blackburn,10-10-15,1:04.19S
W40-44,200 M IM,Susan G Von Der Lippe,12-02-07,2:19.21S
W40-44,400 M IM,Karlyn Pipes-Neilsen,11-24-02,5:00.82S
W45-49,50 M Free,Erika L Braun,10-13-18,26.29S
W45-49,100 M Free,Erika L Braun,12-09-18,57.89S
W45-49,200 M Free,Karlyn Pipes-Neilsen,12-02-07,2:05.94S
W45-49,400 M Free,Heidi S George,08-01-21,4:24.86S
W45-49,800 M Free,Heidi S George,01-28-23,9:01.09S
W45-49,1500 M Free,Heidi S George,01-28-23,17:01.27S
W45-49,50 M Back,Karlyn Pipes-Neilsen,12-02-07,30.58S
W45-49,100 M Back,Karlyn Pipes-Neilsen,05-16-09,1:04.79S
W45-49,200 M Back,Karlyn Pipes-Neilsen,05-15-09,2:18.95S
W45-49,50 M Breast,Susan G Von Der Lippe,10-10-10,33.82S
W45-49,100 M Breast,Lisa Blackburn,03-26-17,1:12.93S
W45-49,200 M Breast,Gabrielle E Rose,12-02-22,2:34.77S
W45-49,50 M Fly,Erika L Braun,04-02-17,28.60S
W45-49,100 M Fly,Susan G Von Der Lippe,11-20-10,1:03.47S
W45-49,200 M Fly,Karlyn Pipes-Neilsen,12-13-09,2:23.18S
W45-49,100 M IM,Karlyn Pipes-Neilsen,12-12-09,1:05.75S
W45-49,200 M IM,Gabrielle E Rose,12-02-22,2:19.30S
W45-49,400 M IM,Karlyn Pipes-Neilsen,12-12-09,5:05.04S
W50-54,50 M Free,Erika L Braun,10-15-22,26.73S
W50-54,100 M Free,Erika L Braun,10-15-23,58.12S
W50-54,200 M Free,Suzanne M Heim-Bowen,12-06-09,2:10.72S
W50-54,400 M Free,Alison Zamanian,10-17-21,4:33.86S
W50-54,800 M Free,Alison Zamanian,10-16-21,9:23.30S
W50-54,1500 M Free,Alison Zamanian,01-29-22,17:47.04S
W50-54,50 M Back,Leslie C Livingston,12-13-15,30.27S
W50-54,100 M Back,Ellen M Reynolds,03-08-14,1:05.89S
W50-54,200 M Back,Ellen M Reynolds,03-08-14,2:22.37S
W50-54,50 M Breast,Erika L Braun,03-18-23,35.14S
W50-54,100 M Breast,Erika L Braun,10-14-23,1:16.60S
W50-54,200 M Breast,Ellen M Reynolds,12-04-16,2:50.36S
W50-54,50 M Fly,Erika L Braun,10-16-22,29.14S
W50-54,100 M Fly,Erika L Braun,10-15-23,1:06.88S
W50-54,200 M Fly,Karlyn Pipes,12-09-12,2:32.29S
W50-54,100 M IM,Erika L Braun,10-15-22,1:07.04S
W50-54,200 M IM,Ellen M Reynolds,11-17-18,2:27.39S
W50-54,400 M IM,Ellen M Reynolds,09-26-14,5:10.96S
W55-59,50 M Free,Leslie C Livingston,03-05-16,27.81S
W55-59,100 M Free,Karlyn A Pipes,01-20-17,1:00.61S
W55-59,200 M Free,Ellen M Reynolds,12-08-19,2:12.03S
W55-59,400 M Free,Laura B Val,10-04-09,4:42.97S
W55-59,800 M Free,Jill S Hernandez,10-13-18,9:46.35S
W55-59,1500 M Free,Laura B Val,01-16-10,18:43.73S
W55-59,50 M Back,Leslie C Livingston,03-05-16,30.12S
W55-59,100 M Back,Ellen M Reynolds,12-07-19,1:07.17S
W55-59,200 M Back,Ellen M Reynolds,12-08-19,2:25.27S
W55-59,50 M Breast,Caroline Krattli,11-05-17,36.47S
W55-59,100 M Breast,Caroline Krattli,11-18-17,1:21.18S
W55-59,200 M Breast,Corrin C Buck,03-16-19,3:00.66S
W55-59,50 M Fly,Leslie C Livingston,03-05-16,29.39S
W55-59,100 M Fly,Karlyn A Pipes,01-21-17,1:08.15S
W55-59,200 M Fly,Laura B Val,09-14-08,2:31.13S
W55-59,100 M IM,Karlyn A Pipes,01-21-17,1:09.08S
W55-59,200 M IM,Ellen M Reynolds,11-24-19,2:27.78S
W55-59,400 M IM,Ellen M Reynolds,11-24-19,5:15.72S
W60-64,50 M Free,Traci S Granger,12-07-19,29.23S
,,Laura B Val,12-07-13,29.23S
W60-64,100 M Free,Laura B Val,12-05-14,1:03.48S
W60-64,200 M Free,Laura B Val,12-04-11,2:20.16S
W60-64,400 M Free,Laura B Val,08-24-13,4:53.24S
W60-64,800 M Free,Kelly Parker Palace,10-13-23,10:07.03S
W60-64,1500 M Free,Kelly Parker Palace,10-15-23,19:27.09S
W60-64,50 M Back,Karlyn A Pipes,04-23-22,32.91S
W60-64,100 M Back,Bonnie M Bilich,10-13-18,1:12.39S
W60-64,200 M Back,Karlyn A Pipes,08-24-22,2:34.31S
W60-64,50 M Breast,Colette M Crabbe,12-04-16,38.87S
W60-64,100 M Breast,Colette M Crabbe,12-03-16,1:24.39S
W60-64,200 M Breast,Lo D Knapp,12-04-16,3:04.70S
W60-64,50 M Fly,Traci S Granger,12-07-19,31.24S
W60-64,100 M Fly,Karlyn A Pipes,04-23-22,1:10.97S
W60-64,200 M Fly,Laura B Val,12-03-11,2:41.25S
W60-64,100 M IM,Karlyn A Pipes,04-24-22,1:12.08S
W60-64,200 M IM,Laura B Val,12-06-13,2:41.53S
W60-64,400 M IM,Colette M Crabbe,12-02-17,5:50.34S
W65-69,50 M Free,Laura B Val,11-19-16,29.30S
W65-69,100 M Free,Laura B Val,12-01-17,1:04.40S
W65-69,200 M Free,Laura B Val,11-18-17,2:23.26S
W65-69,400 M Free,Laura B Val,09-24-17,5:02.08S
W65-69,800 M Free,Laura B Val,01-30-16,10:34.67S
W65-69,1500 M Free,Suzanne M Heim-Bowen,01-28-23,20:05.72S
W65-69,50 M Back,Laura B Val,09-22-19,33.41S
W65-69,100 M Back,Laura B Val,12-01-18,1:13.08S
W65-69,200 M Back,Laura B Val,12-01-17,2:42.87S
W65-69,50 M Breast,Melinda J Mann,12-03-22,41.16S
W65-69,100 M Breast,Colette M Crabbe,11-12-22,1:28.94S
W65-69,200 M Breast,Lo D Knapp,04-14-19,3:10.94S
W65-69,50 M Fly,Penny P Noyes,11-23-19,32.57S
W65-69,100 M Fly,Laura B Val,12-08-19,1:13.47S
W65-69,200 M Fly,Laura B Val,09-18-16,2:45.20S
W65-69,100 M IM,Penny P Noyes,11-23-19,1:15.65S
W65-69,200 M IM,Laura B Val,12-06-19,2:46.04S
W65-69,400 M IM,Laura B Val,09-18-16,5:55.00S
W70-74,50 M Free,Laura B Val,12-03-22,30.55S
W70-74,100 M Free,Laura B Val,12-02-22,1:06.61S
W70-74,200 M Free,Laura B Val,10-09-22,2:27.89S
W70-74,400 M Free,Laura B Val,02-26-23,5:18.26S
W70-74,800 M Free,Cecilia D McCloskey,01-18-20,11:54.61S
