M,50-54,50,Freestyle,Robert J Smith,2024-08-24,00:00:24.88,
M,85-89,50,Freestyle,William Van Horn,2024-08-25,00:00:37.31,
M,35-39,100,Freestyle,Andy Grant,2024-08-25,00:00:51.93,
M,30-34,200,Freestyle,Marcos Lavado,2024-03-03,00:01:54.67,
M,35-39,200,Freestyle,Andy Grant,2024-08-25,00:01:55.38,
M,75-79,200,Freestyle,Alan D Bernard,2024-08-24,00:02:35.74,
M,35-39,400,Freestyle,Chad E La Tourette,2024-08-25,00:04:05.99,
M,80-84,400,Freestyle,Richard Burns,2024-08-04,00:06:16.09,
M,18-24,800,Freestyle,Nathanael Ridosko,2024-08-03,00:08:35.60,
M,85-89,800,Freestyle,William Van Horn,2024-08-22,00:16:19.27,
M,35-39,1500,Freestyle,Chad E La Tourette,2024-08-21,00:16:07.52,
M,75-79,1500,Freestyle,Joel R Wilson,2024-08-02,00:21:33.55,
M,25-29,50,Backstroke,Andy Song,2024-08-25,00:00:26.19,
M,55-59,100,Backstroke,Rick Gould,2024-08-25,00:01:04.90,
M,25-29,200,Backstroke,Andy Song,2024-08-23,00:02:09.79,
M,80-84,200,Backstroke,Richard Burns,2024-08-23,00:03:04.49,
M,25-29,50,Breaststroke,Benjamin J Cono,2024-08-23,00:00:27.55,
M,35-39,50,Breaststroke,Brandon J Fischer,2024-04-13,00:00:28.65,
M,35-39,100,Breaststroke,Brandon J Fischer,2024-06-23,00:01:01.54,
M,35-39,200,Breaststroke,Brandon J Fischer,2024-06-23,00:02:13.09,
M,30-34,100,Butterfly,Marcos Lavado,2024-03-03,00:00:55.23,
M,40-44,100,Butterfly,Juan P Valdivieso,2024-08-24,00:00:59.45,
M,75-79,100,Butterfly,Alan D Bernard,2024-08-24,00:01:20.35,
M,30-34,200,Butterfly,Marcos Lavado,2024-03-03,00:02:07.71,
M,75-79,200,Butterfly,Alan D Bernard,2024-08-25,00:03:19.90,
M,85-89,200,Butterfly,Jack C Fleming,2024-08-25,00:05:58.28,
M,80-84,200,Individual Medley,Richard Burns,2024-08-22,00:03:14.38,
M,35-39,400,Individual Medley,Chad E La Tourette,2024-08-23,00:04:42.50,
M,80-84,400,Individual Medley,Richard Burns,2024-08-02,00:07:22.88,
F,70-74,200,Freestyle,Laura B Val,2024-08-22,00:02:29.56,
F,45-49,1500,Freestyle,Heidi S George,2023-12-02,00:17:26.47,
F,75-79,1500,Freestyle,Ruth Y Shaps,2024-08-02,00:25:55.26,
F,45-49,50,Backstroke,Lauren E Hooper,2024-08-25,00:00:32.71,
F,75-79,50,Backstroke,Ruth Y Shaps,2024-08-03,00:00:47.74,
F,45-49,100,Backstroke,Lauren E Hooper,2024-08-25,00:01:11.34,
F,80-84,50,Breaststroke,Daniela Barnea,2024-08-23,00:00:51.78,
F,80-84,100,Breaststroke,Daniela Barnea,2024-08-22,00:01:53.06,
F,80-84,200,Breaststroke,Daniela Barnea,2024-08-04,00:04:14.99,
F,25-29,50,Butterfly,Virginia B Burns,2024-08-23,00:00:28.80,
F,80-84,100,Butterfly,Daniela Barnea,2024-08-24,00:01:53.95,
F,80-84,200,Butterfly,Daniela Barnea,2024-08-04,00:04:14.92,
F,80-84,200,Individual Medley,Daniela Barnea,2024-08-22,00:03:47.11,
F,80-84,400,Individual Medley,Daniela Barnea,2024-08-02,00:08:11.16,
