2024 USMS Top 10 SCY for Pacific LMSC
Place,Age Group,Event,Name,Age,Club,LMSC,Time
3,W18-24,50 Free,Cathy Teng,23,UC38,Pacific,24.56Y
7,W18-24,50 Free,Grace Zhao,24,TOC,Pacific,25.01Y
2,W18-24,100 Free,Cathy Teng,23,UC38,Pacific,53.23Y
3,W18-24,200 Free,Cathy Teng,23,UC38,Pacific,1:55.92Y
1,W18-24,50 Back,Grace Zhao,24,TOC,Pacific,26.81Y
7,W18-24,50 Back,Cathy Teng,23,UC38,Pacific,28.63Y
10,W18-24,100 Back,Cathy Teng,23,UC38,Pacific,1:04.67Y
3,W18-24,50 Breast,Grace Zhao,24,TOC,Pacific,31.02Y
2,W18-24,200 Breast,Grace Zhao,24,TOC,Pacific,2:26.77Y
2,W18-24,50 Fly,Cathy Teng,23,UC38,Pacific,26.23Y
3,W18-24,50 Fly,Grace Zhao,24,TOC,Pacific,26.42Y
1,W18-24,100 Fly,Cathy Teng,23,UC38,Pacific,58.84Y
2,W18-24,100 IM,Grace Zhao,24,TOC,Pacific,59.73Y
5,W18-24,100 IM,Cathy Teng,23,UC38,Pacific,1:01.29Y
2,W18-24,200 IM,Cathy Teng,23,UC38,Pacific,2:14.92Y
9,W25-29,50 Free,Lauren K Green,25,TOC,Pacific,24.33Y
10,W25-29,50 Free,Selby C Sturzenegger,27,TOC,Pacific,24.44Y
5,W25-29,100 Free,Allie C Davis,29,SRM,Pacific,52.81Y
10,W25-29,200 Free,Catherine V Ladd,27,TOC,Pacific,1:59.60Y
6,W25-29,500 Free,Catherine V Ladd,27,TOC,Pacific,5:20.51Y
7,W25-29,500 Free,Haley Hamza,28,SACMA,Pacific,5:21.52Y
10,W25-29,500 Free,Lissi Knell,29,MAM,Pacific,5:28.71Y
9,W25-29,1000 Free,Vivian A Crow,26,DAM,Pacific,11:56.22Y
2,W25-29,1650 Free,Hannah Orbach-Mandel,26,USF,Pacific,18:27.91Y
4,W25-29,1650 Free,Victoria L Feng,25,UC38,Pacific,19:23.69Y
9,W25-29,1650 Free,Vivian A Crow,26,DAM,Pacific,20:09.39Y
2,W25-29,50 Back,Selby C Sturzenegger,27,TOC,Pacific,26.26Y
4,W25-29,50 Back,Catherine V Ladd,27,TOC,Pacific,27.80Y
9,W25-29,50 Back,Lauren K Green,25,TOC,Pacific,28.05Y
2,W25-29,100 Back,Selby C Sturzenegger,27,TOC,Pacific,58.50Y
5,W25-29,100 Back,Catherine V Ladd,27,TOC,Pacific,59.96Y
2,W25-29,200 Back,Catherine V Ladd,27,TOC,Pacific,2:09.16Y
10,W25-29,200 Back,Haley Hamza,28,SACMA,Pacific,2:18.60Y
3,W25-29,50 Fly,Lauren K Green,25,TOC,Pacific,25.66Y
7,W25-29,50 Fly,Cynthia J Siebrand,27,NBA,Pacific,26.34Y
4,W25-29,100 Fly,Selby C Sturzenegger,27,TOC,Pacific,57.76Y
3,W25-29,100 IM,Selby C Sturzenegger,27,TOC,Pacific,59.74Y
4,W25-29,100 IM,Catherine V Ladd,27,TOC,Pacific,1:00.83Y
8,W25-29,100 IM,Allie C Davis,29,SRM,Pacific,1:01.37Y
3,W25-29,200 IM,Selby C Sturzenegger,27,TOC,Pacific,2:11.87Y
6,W30-34,50 Free,Felicia Lee,31,TOC,Pacific,24.79Y
8,W30-34,50 Free,Deirdre Clute,32,TOC,Pacific,24.92Y
6,W30-34,100 Free,Allison A Arnold,31,TOC,Pacific,54.26Y
2,W30-34,200 Free,Allison A Arnold,31,TOC,Pacific,1:56.25Y
10,W30-34,500 Free,Elyssa Pedote,31,TOC,Pacific,5:29.97Y
2,W30-34,50 Back,Felicia Lee,31,TOC,Pacific,26.65Y
9,W30-34,50 Back,Deirdre Clute,32,TOC,Pacific,28.44Y
7,W30-34,100 Back,Deirdre Clute,32,TOC,Pacific,1:01.09Y
3,W30-34,200 Back,Elyssa Pedote,31,TOC,Pacific,2:12.32Y
6,W30-34,200 Back,Deirdre Clute,32,TOC,Pacific,2:14.70Y
6,W30-34,50 Breast,Allison A Arnold,31,TOC,Pacific,31.88Y
9,W30-34,50 Breast,Felicia Lee,31,TOC,Pacific,33.44Y
5,W30-34,100 Breast,Allison A Arnold,31,TOC,Pacific,1:08.67Y
9,W30-34,100 Breast,Danae Petrakis,31,USF,Pacific,1:10.86Y
4,W30-34,50 Fly,Felicia Lee,31,TOC,Pacific,25.83Y
10,W30-34,50 Fly,Deirdre Clute,32,TOC,Pacific,27.06Y
5,W30-34,100 Fly,Allison A Arnold,31,TOC,Pacific,1:00.12Y
10,W30-34,100 Fly,Elyssa Pedote,31,TOC,Pacific,1:00.92Y
1,W30-34,200 Fly,Elyssa Pedote,31,TOC,Pacific,2:12.91Y
2,W30-34,200 Fly,Allison A Arnold,31,TOC,Pacific,2:14.79Y
9,W30-34,200 Fly,Kate Stephensen,34,DAM,Pacific,2:33.27Y
2,W30-34,100 IM,Felicia Lee,31,TOC,Pacific,59.91Y
2,W30-34,200 IM,Allison A Arnold,31,TOC,Pacific,2:09.59Y
6,W30-34,200 IM,Elyssa Pedote,31,TOC,Pacific,2:17.46Y
6,W35-39,100 Free,Jennifer D Radecke-Noble,39,TVM,Pacific,54.73Y
7,W35-39,1650 Free,Jing Li,35,SMM,Pacific,19:36.07Y
7,W35-39,50 Back,Tiffany Sun,35,HTUB,Pacific,28.68Y
6,W35-39,100 Back,Jennifer D Radecke-Noble,39,TVM,Pacific,1:01.43Y
9,W35-39,100 Back,Tiffany Sun,35,HTUB,Pacific,1:03.48Y
6,W35-39,50 Breast,Marie A Ballenger,37,TOC,Pacific,33.09Y
7,W35-39,50 Breast,Lauren Au Brinkmeyer,39,MAM,Pacific,33.39Y
8,W35-39,50 Breast,Wendy Tempels,39,STAN,Pacific,33.42Y
6,W35-39,200 Breast,Wendy Tempels,39,STAN,Pacific,2:37.02Y
8,W35-39,200 Breast,Lauren Au Brinkmeyer,39,MAM,Pacific,2:38.21Y
4,W35-39,200 Fly,Wendy Tempels,39,STAN,Pacific,2:17.62Y
5,W35-39,200 Fly,Jennifer D Radecke-Noble,39,TVM,Pacific,2:18.71Y
5,W35-39,200 IM,Jennifer D Radecke-Noble,39,TVM,Pacific,2:17.11Y
3,W35-39,400 IM,Wendy Tempels,39,STAN,Pacific,4:56.99Y
10,W40-44,200 Free,Jennifer L McIntyre,44,SNM,Pacific,2:05.61Y
3,W40-44,50 Back,Naoko Watanabe,41,TOC,Pacific,27.99Y
2,W40-44,100 Back,Naoko Watanabe,41,TOC,Pacific,1:00.65Y
10,W40-44,200 Back,Molly M Ward,42,TOC,Pacific,2:23.60Y
10,W40-44,50 Fly,Naoko Watanabe,41,TOC,Pacific,27.67Y
8,W40-44,100 Fly,Helene Nehrebecki,44,DAM,Pacific,1:04.33Y
9,W40-44,100 IM,Naoko Watanabe,41,TOC,Pacific,1:03.66Y
8,W45-49,50 Free,Ericka L Richards,46,SRM,Pacific,25.52Y
3,W45-49,200 Free,Heidi S George,48,UC38,Pacific,2:02.94Y
7,W45-49,200 Free,Niki L Woodard,47,PT,Pacific,2:05.88Y
8,W45-49,200 Free,Abby B Pledger,49,NBA,Pacific,2:06.08Y
1,W45-49,500 Free,Heidi S George,48,UC38,Pacific,5:11.55Y
8,W45-49,500 Free,Abby B Pledger,49,NBA,Pacific,5:42.89Y
1,W45-49,1000 Free,Heidi S George,48,UC38,Pacific,10:24.52Y
8,W45-49,1000 Free,Carrie Hahnel,45,MEMO,Pacific,12:20.97Y
1,W45-49,1650 Free,Heidi S George,48,UC38,Pacific,17:11.64Y
2,W45-49,50 Back,Lauren E Hooper,45,WCM,Pacific,28.72Y
7,W45-49,50 Back,Ericka L Richards,46,SRM,Pacific,30.31Y
8,W45-49,50 Breast,Ericka L Richards,46,SRM,Pacific,33.01Y
10,W45-49,100 Breast,Ericka L Richards,46,SRM,Pacific,1:14.76Y
5,W45-49,200 Breast,Ericka L Richards,46,SRM,Pacific,2:40.09Y
5,W45-49,200 Fly,Masako K Nagaoka,49,QSS,Pacific,2:48.78Y
10,W45-49,200 Fly,Melanie H Gentles Ellison,47,DAM,Pacific,3:08.43Y
9,W45-49,100 IM,Ericka L Richards,46,SRM,Pacific,1:05.13Y
5,W45-49,200 IM,Andee Bell,48,DAM,Pacific,2:23.77Y
2,W50-54,100 Free,Alison Zamanian,53,WCM,Pacific,57.19Y
6,W50-54,1650 Free,Cynthia J Hertzer,54,CRUZ,Pacific,21:15.02Y
3,W50-54,50 Back,Tanya N Lane,52,FDM,Pacific,29.84Y
2,W50-54,100 Back,Tanya N Lane,52,FDM,Pacific,1:03.58Y
6,W50-54,100 Back,Alison Zamanian,53,WCM,Pacific,1:05.90Y
2,W50-54,200 Back,Alison Zamanian,53,WCM,Pacific,2:20.22Y
3,W50-54,200 Back,Tanya N Lane,52,FDM,Pacific,2:20.56Y
4,W50-54,50 Breast,Tanya N Lane,52,FDM,Pacific,32.96Y
2,W50-54,100 Breast,Tanya N Lane,52,FDM,Pacific,1:11.47Y
8,W50-54,100 Breast,Alison Zamanian,53,WCM,Pacific,1:15.20Y
1,W50-54,200 Breast,Tanya N Lane,52,FDM,Pacific,2:36.91Y
4,W50-54,200 Breast,Alison Zamanian,53,WCM,Pacific,2:41.38Y
4,W50-54,100 Fly,Alison Zamanian,53,WCM,Pacific,1:04.91Y
