2024 U.S. Masters Swimming 3000 Virtual Championship Final Results Men,,,,,,,,,,
,,,,,,,,,,
Age Group,Place,Last Name,First Name,MI,Club Abbr,Age,USMS Number,DOB,Time,New Record
M1824,1,Xu,D Michael,,MEMO,23,384K-4AS5E,,41:03.99,
M1824,2,Freeman,Brigham,,WISC,22,204Y-APCPD,,43:04.27,
M2529,1,Shi,Simon,,OREG,27,374R-49J7Y,,30:04.30,Y
M2529,2,Malone,Reed,,TOC,29,384W-DCWHN,,36:22.85,
M2529,3,Forker,Shane,,TOC,26,384U-J7XTN,,36:23.71,
M2529,4,Arvidsson,Karl,,TOC,26,384V-RGKZR,,38:38.95,
M2529,5,Froh,Noah,,NEM,27,024E-7MBCX,,43:38.00,
M3034,1,Reyes,Patrick,,NEM,30,024D-Z47XV,,35:27.50,
M3034,2,Stickle,Christopher,,SPM,34,144M-06HTS,,35:40.83,
M3034,3,Kertesz,Kristof,,SFTL,31,504J-0896S,,39:25.10,
M3034,4,Thomas,Michael,,MVM,32,384P-07X03,,39:45.45,
M3034,5,Aldred,Grant,,OREG,31,374M-084PG,,40:22.00,
M3034,6,Pidgeon,Jack,,AAMAH,32,434Z-7P00H,,40:44.53,
M3034,7,Riley,Austin,,MOST,34,4350-SJPCX,,41:26.71,
M3034,8,Zhuang,Yuchuan,,IM,34,214V-NC6U3,,45:54.76,
M3539,1,Senese,Bill,,UC32,39,3248-0ZGUM,,34:36.99,
M3539,2,Wallace,Anthony,,SAVMS,37,454G-0AUSE,,35:40.00,
M3539,3,Hawkins,Russell,,SPM,38,144R-N55AX,,52:34.00,
M4044,1,Valdivieso,Juan,,TOC,43,384E-0771P,,35:44.31,
M4044,2,Foerster,Henry,,AAMAH,41,434R-09G8Y,,45:27.78,
M4044,3,Carrington,Douglas,,AWYY,43,454T-0ACS0,,45:54.01,
M4044,4,Zavala,John,,AAMAH,40,4347-KNT8P,,57:49.39,
M4549,1,Dion,Thomas,,RMST,46,1041-3JWBT,,34:06.47,
M4549,2,Gardner,Joseph,,TXLA,49,434X-AHPA1,,36:05.31,
M4549,3,Gold,Steven,,BSS,47,144T-042RD,,36:42.06,
M4549,4,Kearney,Eric,,OREG,47,3754-DC7RJ,,40:50.00,
M4549,5,Kilburn,David,,OREG,47,374U-09923,,42:42.09,
M4549,6,London,Chase,,TFAM,49,264V-JH2J7,,47:50.00,
M4549,7,Fine,Spencer,,UC38,49,384B-PU06W,,49:02.00,
M4549,8,Walker,Ryan,,UC38,48,3847-6T19R,,49:05.00,
M4549,9,Clarke,Joseph,,AAMAH,49,434M-JXP16,,51:05.61,
M5054,1,Plummer,Andrew,,AAMAH,53,4348-098P9,,37:56.41,
M5054,2,Guirl,Michael,,MOST,53,434A-02PWZ,,39:33.84,
M5054,3,Richardson,Ty,,AAMAH,51,435F-02PPW,,40:15.48,
M5054,4,MacDonald,Bruce,,CM-Y,54,1243-02K1C,,40:30.19,
