M,45-49,50,Freestyle,Scott Greenwood,2024-06-21,00:00:21.65,
M,80-84,50,Freestyle,Richard Burns,2024-06-24,00:00:29.13,
M,85-89,50,Freestyle,William Van Horn,2024-06-21,00:00:34.49,
M,80-84,100,Freestyle,Richard Burns,2024-06-20,00:01:03.59,
M,80-84,200,Freestyle,Richard Burns,2024-06-21,00:02:24.89,
M,80-84,500,Freestyle,Ed Reed,2024-06-21,00:07:09.38,
M,85-89,1650,Freestyle,William Van Horn,2024-06-24,00:32:03.82,
M,18-24,100,Backstroke,Kyle C Millis,2024-06-21,00:00:49.05,
M,80-84,100,Backstroke,Richard Burns,2024-06-21,00:01:11.64,
M,80-84,200,Backstroke,Richard Burns,2024-06-23,00:02:36.94,
M,35-39,100,Breaststroke,Brandon J Fischer,2024-06-23,00:00:54.40,
M,35-39,200,Breaststroke,Brandon J Fischer,2024-06-22,00:01:58.68,
M,80-84,100,Butterfly,Richard Burns,2024-06-22,00:01:15.29,
M,35-39,100,Individual Medley,Brandon J Fischer,2024-06-21,00:00:51.38,
M,85-89,100,Individual Medley,William Van Horn,2024-06-21,00:01:35.80,
F,70-74,200,Backstroke,Laura B Val,2024-06-23,00:02:25.22,
F,80-84,50,Breaststroke,Daniela Barnea,2024-06-20,00:00:43.68,
F,80-84,100,Breaststroke,Daniela Barnea,2024-06-23,00:01:39.17,
F,80-84,200,Breaststroke,Daniela Barnea,2024-06-22,00:03:34.85,
F,80-84,50,Butterfly,Daniela Barnea,2024-06-24,00:00:47.96,
F,80-84,100,Butterfly,Daniela Barnea,2024-06-22,00:01:41.55,
F,80-84,200,Butterfly,Daniela Barnea,2024-06-20,00:03:43.59,
F,80-84,100,Individual Medley,Daniela Barnea,2024-06-21,00:01:34.31,
