USMS Men's Short Course Yards Records 07/15/2024
Age Group,Event,Name,Date,Time
M18-24,50 Y Free,Josh Schneider,04-28-12,19.36Y
M18-24,100 Y Free,Eugene Godsoe,12-01-12,42.59Y
M18-24,200 Y Free,Andy Grant,11-08-09,1:35.02Y
M18-24,500 Y Free,Andy Grant,01-24-10,4:24.81Y
M18-24,1000 Y Free,JP Arnold,02-13-10,9:01.26Y
M18-24,1650 Y Free,Cole Weiderman,06-24-24,15:42.49Y
M18-24,50 Y Back,Andrew Elliott,05-10-13,22.33Y
M18-24,100 Y Back,Eugene Godsoe,11-30-12,45.36Y
M18-24,200 Y Back,Andrew Elliott,05-11-13,1:44.18Y
M18-24,50 Y Breast,Rostyslav Fedyna,02-01-15,24.53Y
M18-24,100 Y Breast,Josh C Prenot,02-03-18,52.63Y
M18-24,200 Y Breast,Elliot Keefer,05-12-13,1:57.33Y
M18-24,50 Y Fly,Henrik C Lindau,04-26-15,21.13Y
M18-24,100 Y Fly,Eugene Godsoe,11-30-12,46.65Y
M18-24,200 Y Fly,Zachary L Fong,04-30-22,1:44.08Y
M18-24,100 Y IM,Andrew J Appleby,04-26-19,48.96Y
M18-24,200 Y IM,Samuel W Stewart,02-02-20,1:48.91Y
M18-24,400 Y IM,Russell Payne,02-13-10,3:50.12Y
M25-29,50 Y Free,Nathan Adrian,12-20-14,18.67Y
,,Frederick Bousquet,02-13-10,18.67Y
M25-29,100 Y Free,Nathan Adrian,05-03-14,41.13Y
M25-29,200 Y Free,Darian R Townsend,12-06-13,1:31.93Y
M25-29,500 Y Free,Andy Grant,04-17-10,4:20.82Y
M25-29,1000 Y Free,Grant M Shoults,04-27-23,9:03.99Y
M25-29,1650 Y Free,Alex Kostich,05-03-98,15:44.70Y
M25-29,50 Y Back,Adam M Mania,04-16-10,21.46Y
M25-29,100 Y Back,Adam M Mania,04-15-10,45.95Y
M25-29,200 Y Back,David Russell,03-20-16,1:45.77Y
M25-29,50 Y Breast,Mark Gangloff,05-21-10,23.87Y
M25-29,100 Y Breast,Benjamin J Cono,04-28-23,51.51Y
M25-29,200 Y Breast,BJ Johnson,12-21-13,1:53.04Y
M25-29,50 Y Fly,Marcin Cieslak,04-28-19,20.99Y
M25-29,100 Y Fly,Davis Tarwater,11-30-12,45.32Y
M25-29,200 Y Fly,Zachary L Fong,04-30-23,1:44.67Y
M25-29,100 Y IM,Darian R Townsend,05-03-14,47.77Y
M25-29,200 Y IM,Darian R Townsend,12-21-13,1:41.79Y
M25-29,400 Y IM,Darian R Townsend,12-20-13,3:41.85Y
M30-34,50 Y Free,Anthony L Ervin,05-03-14,19.33Y
,,Anthony L Ervin,05-02-14,19.33Y
M30-34,100 Y Free,Darian R Townsend,12-21-14,42.75Y
