2026 USMS Top 10 SCY for Pacific LMSC
This is a preliminary Top 10 listing  for proofreading purposes only.

Place,Age Group,Event,Name,Age,Club,LMSC,Time
1,W18-24,200 Free,Ella R Blake,24,STAN,Pacific,1:52.46Y
1,W18-24,500 Free,Ella R Blake,24,STAN,Pacific,5:03.30Y
7,W25-29,200 Free,Hannah Orbach-Mandel,28,TOC,Pacific,1:56.98Y
5,W25-29,1000 Free,Stephanie A Blankley,27,USF,Pacific,11:12.59Y
4,W25-29,1650 Free,Stephanie A Blankley,27,USF,Pacific,18:40.13Y
6,W25-29,50 Breast,Grace Zhao,26,TOC,Pacific,30.97Y
5,W25-29,100 Breast,Grace Zhao,26,TOC,Pacific,1:07.25Y
6,W30-34,50 Free,Allie C Davis,31,SRM,Pacific,24.55Y
3,W30-34,100 Free,Allie C Davis,31,SRM,Pacific,52.29Y
7,W30-34,100 Free,Charlotte J Kamai,31,USF,Pacific,54.92Y
6,W30-34,200 Free,Allison A Arnold,33,TOC,Pacific,1:59.88Y
2,W30-34,500 Free,Allison A Arnold,33,TOC,Pacific,5:04.10Y
2,W30-34,1000 Free,Allison A Arnold,33,TOC,Pacific,10:33.51Y
1,W30-34,1650 Free,Allison A Arnold,33,TOC,Pacific,17:27.58Y
10,W30-34,1650 Free,Sabrina Lee,32,BAC,Pacific,21:29.98Y
6,W30-34,100 Breast,Anna Sharpe,34,VACA,Pacific,1:09.53Y
7,W30-34,100 Breast,Allison A Arnold,33,TOC,Pacific,1:09.85Y
1,W30-34,200 Breast,Allison A Arnold,33,TOC,Pacific,2:24.94Y
4,W30-34,200 Breast,Anna Sharpe,34,VACA,Pacific,2:29.83Y
7,W30-34,100 Fly,Allie C Davis,31,SRM,Pacific,59.38Y
3,W30-34,200 Fly,Allison A Arnold,33,TOC,Pacific,2:11.74Y
7,W30-34,100 IM,Allie C Davis,31,SRM,Pacific,1:01.24Y
7,W30-34,200 IM,Chelsea Finn,33,STAN,Pacific,2:21.62Y
1,W30-34,400 IM,Allison A Arnold,33,TOC,Pacific,4:34.48Y
6,W35-39,50 Free,Stacey Ziemba,39,LAC,Pacific,24.76Y
10,W35-39,100 Free,Stacey Ziemba,39,LAC,Pacific,55.10Y
8,W35-39,1000 Free,Jing Li,37,SMM,Pacific,11:53.41Y
7,W35-39,1650 Free,Jing Li,37,SMM,Pacific,19:47.69Y
7,W35-39,200 Back,Kate A Stephensen,36,SACMA,Pacific,2:25.27Y
9,W35-39,100 Breast,Marie A Ballenger,39,TOC,Pacific,1:12.45Y
3,W40-44,200 Free,Jennifer D Radecke-Noble,41,TVM,Pacific,1:59.71Y
9,W40-44,1000 Free,Gina M Marek,42,TOC,Pacific,11:51.26Y
7,W40-44,200 Breast,Gina M Marek,42,TOC,Pacific,2:36.90Y
